Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 19, 2021 at 05:24 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 19, 2021 at 06:23 with Stable 1.71.5 on PS019

Data File = Data_13676 ETH-02.txt,        Sample Weight = 412,                      Vial Location = 29,                       Initial Sam Beam = 3.5415e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.7946e-08,                Max Ref Beam = 1.0605e-07,                

Analysis undertaken at mass 46.00883
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.59604e-08,,,,,,1.1969e-02,4.2044e-03,4.8919e-05,4.6443e-06,6.2549e-08,
Sam 1,3.10000e-08,1.18845e-02,4.1834e-03,4.8315e-05,4.6022e-06,6.1656e-08,,,,,,           -7.0657,           -4.9989,          -12.4718,           -9.2734,            2.1804,          -10.2360,          -10.8592,           -0.3106,            0.7063,           19.7693,
Ref 2,3.52256e-08,,,,,,1.1969e-02,4.2045e-03,4.8931e-05,4.6462e-06,6.0473e-08,,,,,,,,,,,
Sam 2,3.03275e-08,1.18847e-02,4.1834e-03,4.8313e-05,4.6005e-06,6.2139e-08,,,,,,           -7.0590,           -5.0093,          -12.6704,           -9.5115,           11.4611,          -10.2285,          -10.8696,           -0.5082,            0.4869,           29.2267,
Ref 3,3.44925e-08,,,,,,1.1969e-02,4.2044e-03,4.8934e-05,4.6430e-06,6.2417e-08,,,,,,,,,,,
Sam 3,2.96730e-08,1.18845e-02,4.1834e-03,4.8311e-05,4.6012e-06,5.8725e-08,,,,,,           -7.0712,           -5.0077,          -12.7249,           -9.1400,          -37.2054,          -10.2415,          -10.8680,           -0.5524,            0.8589,          -20.2850,
Ref 4,3.37800e-08,,,,,,1.1969e-02,4.2044e-03,4.8933e-05,4.6442e-06,5.9541e-08,,,,,,,,,,,
Sam 4,2.90348e-08,1.18845e-02,4.1834e-03,4.8314e-05,4.5996e-06,5.3543e-08,,,,,,           -7.0559,           -4.9931,          -12.6092,           -9.5846,          -65.5388,          -10.2258,          -10.8535,           -0.4656,            0.3805,          -49.1592,
Ref 5,3.30856e-08,,,,,,1.1969e-02,4.2043e-03,4.8928e-05,4.6439e-06,5.5008e-08,,,,,,,,,,,
Sam 5,2.84144e-08,1.18842e-02,4.1832e-03,4.8312e-05,4.5986e-06,5.2736e-08,,,,,,           -7.0739,           -5.0330,          -12.6122,          -10.1176,          -12.8666,          -10.2435,          -10.8931,           -0.4105,           -0.0778,            4.5346,
Ref 6,3.24106e-08,,,,,,1.1969e-02,4.2044e-03,4.8930e-05,4.6474e-06,5.1806e-08,,,,,,,,,,,
Sam 6,2.78126e-08,1.18842e-02,4.1833e-03,4.8305e-05,4.5943e-06,4.5782e-08,,,,,,           -7.0732,           -5.0191,          -12.8454,          -10.9610,         -123.1277,          -10.2433,          -10.8794,           -0.6610,           -0.9576,         -107.6951,
Ref 7,3.17570e-08,,,,,,1.1969e-02,4.2043e-03,4.8936e-05,4.6429e-06,5.2624e-08,,,,,,,,,,,
Sam 7,2.72321e-08,1.18842e-02,4.1832e-03,4.8309e-05,4.5998e-06,4.0764e-08,,,,,,           -7.0756,           -5.0143,          -12.7383,           -8.7518,         -157.2962,          -10.2460,          -10.8745,           -0.5549,            1.2641,         -142.4710,
Ref 8,3.11188e-08,,,,,,1.1969e-02,4.2042e-03,4.8928e-05,4.6379e-06,4.4033e-08,,,,,,,,,,,
Sam 8,2.66627e-08,1.18839e-02,4.1832e-03,4.8314e-05,4.5957e-06,4.3257e-08,,,,,,           -7.0845,           -5.0114,          -12.5690,           -9.0161,          -22.3436,          -10.2556,          -10.8716,           -0.3771,            0.9914,           -5.1406,
Ref 9,3.04965e-08,,,,,,1.1969e-02,4.2042e-03,4.8930e-05,4.6370e-06,4.4462e-08,,,,,,,,,,,
Sam 9,2.61126e-08,1.18838e-02,4.1830e-03,4.8307e-05,4.6000e-06,4.1450e-08,,,,,,           -7.0881,           -5.0343,          -12.7476,           -8.1941,          -48.5324,          -10.2586,          -10.8944,           -0.5315,            1.8678,          -31.7426,
Ref 10,2.98906e-08,,,,,,1.1969e-02,4.2042e-03,4.8931e-05,4.6390e-06,4.2648e-08,,,,,,,,,,,
Sam 10,2.55746e-08,1.18837e-02,4.1830e-03,4.8305e-05,4.5985e-06,3.1813e-08,,,,,,           -7.0950,           -5.0411,          -12.7182,           -8.7585,         -211.2925,          -10.2657,          -10.9012,           -0.4879,            1.3115,         -197.3578,
Ref 11,2.93009e-08,,,,,,1.1969e-02,4.2042e-03,4.8925e-05,4.6392e-06,3.7977e-08,,,,,,,,,,,
Sam 11,2.50525e-08,1.18837e-02,4.1830e-03,4.8301e-05,4.5943e-06,3.2376e-08,,,,,,           -7.0878,           -5.0364,          -12.7473,           -9.2857,         -126.3889,          -10.2583,          -10.8965,           -0.5295,            0.7694,         -110.9694,
Ref 12,2.87244e-08,,,,,,1.1968e-02,4.2041e-03,4.8924e-05,4.6355e-06,3.6124e-08,,,,,,,,,,,
Sam 12,2.45442e-08,1.18837e-02,4.1829e-03,4.8308e-05,4.5894e-06,2.5907e-08,,,,,,           -7.0711,           -5.0184,          -12.5865,           -9.0496,         -234.3909,          -10.2410,          -10.8786,           -0.4018,            0.9717,         -220.9192,
Ref 13,2.81620e-08,,,,,,1.1968e-02,4.2040e-03,4.8923e-05,4.6270e-06,3.1506e-08,,,,,,,,,,,
Sam 13,2.40445e-08,1.18835e-02,4.1828e-03,4.8301e-05,4.5923e-06,2.3619e-08,,,,,,           -7.0820,           -5.0420,          -12.7212,           -8.1419,         -239.5031,          -10.2518,          -10.9021,           -0.5036,            1.9361,         -226.0762,
Ref 14,2.76160e-08,,,,,,1.1968e-02,4.2041e-03,4.8923e-05,4.6332e-06,3.0601e-08,,,,,,,,,,,
Sam 14,2.35646e-08,1.18834e-02,4.1828e-03,4.8300e-05,4.5820e-06,2.1976e-08,,,,,,           -7.0823,           -5.0498,          -12.7041,          -11.4645,         -160.0604,          -10.2519,          -10.9099,           -0.4782,           -1.4046,         -145.2176,
Ref 15,2.70876e-08,,,,,,1.1968e-02,4.2039e-03,4.8921e-05,4.6371e-06,2.1639e-08,,,,,,,,,,,
Sam 15,2.30965e-08,1.18833e-02,4.1828e-03,4.8306e-05,4.5927e-06,1.0467e-08,,,,,,           -7.0864,           -5.0452,          -12.5455,           -9.1457,         -571.1611,          -10.2564,          -10.9053,           -0.3179,            0.9287,         -563.5844,
Ref 16,2.65682e-08,,,,,,1.1968e-02,4.2040e-03,4.8919e-05,4.6330e-06,2.7231e-08,,,,,,,,,,,
Sam 16,2.26342e-08,1.18832e-02,4.1827e-03,4.8292e-05,4.5858e-06,9.8751e-09,,,,,,           -7.0837,           -5.0424,          -12.7581,          -10.2890,         -541.8002,          -10.2537,          -10.9025,           -0.5387,           -0.2321,         -533.7088,
Ref 17,2.60590e-08,,,,,,1.1968e-02,4.2038e-03,4.8912e-05,4.6340e-06,1.5762e-08,,,,,,,,,,,
Sam 17,2.21863e-08,1.18831e-02,4.1826e-03,4.8279e-05,4.5883e-06,7.1891e-09,,,,,,           -7.0884,           -5.0471,          -13.0014,           -9.1183,         -584.3960,          -10.2585,          -10.9072,           -0.7755,            0.9601,         -577.0507,
Ref 18,2.55655e-08,,,,,,1.1968e-02,4.2038e-03,4.8918e-05,4.6269e-06,1.8864e-08,,,,,,,,,,,
Sam 18,2.17504e-08,1.18830e-02,4.1826e-03,4.8278e-05,4.5848e-06,5.8287e-09,,,,,,           -7.0861,           -5.0550,          -12.9881,           -9.6564,         -616.2376,          -10.2558,          -10.9150,           -0.7566,            0.4323,         -609.4499,
Ref 19,2.50822e-08,,,,,,1.1968e-02,4.2038e-03,4.8910e-05,4.6322e-06,1.1442e-08,,,,,,,,,,,
Sam 19,2.13237e-08,1.18829e-02,4.1825e-03,4.8279e-05,4.5780e-06,-5.0567e-09,,,,,,           -7.0789,           -5.0399,          -12.9166,          -11.2649,        -1629.6628,          -10.2486,          -10.9000,           -0.7067,           -1.2229,        -1640.7729,
Ref 20,2.46151e-08,,,,,,1.1968e-02,4.2036e-03,4.8911e-05,4.6281e-06,4.5547e-09,,,,,,,,,,,
Sam 20,2.09091e-08,1.18828e-02,4.1825e-03,4.8281e-05,4.5790e-06,-6.4652e-09,,,,,,           -7.0765,           -5.0215,          -12.8082,          -10.2910,        -3022.1978,          -10.2468,          -10.8817,           -0.6175,           -0.2760,        -3057.8012,
Ref 21,2.41542e-08,,,,,,1.1967e-02,4.2036e-03,4.8903e-05,4.6252e-06,1.8136e-09,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.39318e-08,,,,,,1.1968e-02,4.2037e-03,4.8917e-05,4.6255e-06,-1.7932e-09,
Sam 1,2.02974e-08,1.18827e-02,4.1824e-03,4.8271e-05,4.5708e-06,-2.0280e-08,,,,,,           -7.0851,           -5.0649,          -13.1003,          -11.4679,         6141.4388,          -10.2543,          -10.9249,           -0.8615,           -1.3777,         6267.8679,
Ref 2,2.34824e-08,,,,,,1.1967e-02,4.2036e-03,4.8906e-05,4.6221e-06,-3.9064e-09,,,,,,,,,,,
Sam 2,1.99045e-08,1.18827e-02,4.1824e-03,4.8268e-05,4.5732e-06,-2.2163e-08,,,,,,           -7.0765,           -5.0401,          -13.0527,          -10.0497,         4095.0748,          -10.2460,          -10.9003,           -0.8467,            0.0051,         4184.9743,
Ref 3,2.30519e-08,,,,,,1.1967e-02,4.2035e-03,4.8906e-05,4.6170e-06,-4.8015e-09,,,,,,,,,,,
Sam 3,1.95191e-08,1.18824e-02,4.1823e-03,4.8269e-05,4.5624e-06,-1.8817e-08,,,,,,           -7.0942,           -5.0412,          -12.9795,          -11.8294,         1642.5219,          -10.2648,          -10.9013,           -0.7531,           -1.7904,         1689.2051,
Ref 4,2.26264e-08,,,,,,1.1967e-02,4.2034e-03,4.8901e-05,4.6170e-06,-9.4836e-09,,,,,,,,,,,
Sam 4,1.91443e-08,1.18824e-02,4.1822e-03,4.8262e-05,4.5597e-06,-1.7849e-08,,,,,,           -7.0925,           -5.0588,          -13.0477,          -11.3993,         1288.3537,          -10.2625,          -10.9188,           -0.8065,           -1.3206,         1328.8572,
Ref 5,2.22139e-08,,,,,,1.1967e-02,4.2034e-03,4.8900e-05,4.6075e-06,-6.0855e-09,,,,,,,,,,,
Sam 5,1.87787e-08,1.18822e-02,4.1821e-03,4.8259e-05,4.5566e-06,-2.4834e-08,,,,,,           -7.0976,           -5.0752,          -12.9877,          -11.0876,         1167.2700,          -10.2673,          -10.9351,           -0.7243,           -0.9728,         1205.7138,
Ref 6,2.18084e-08,,,,,,1.1967e-02,4.2033e-03,4.8889e-05,4.6078e-06,-1.6932e-08,,,,,,,,,,,
Sam 6,1.84210e-08,1.18822e-02,4.1821e-03,4.8258e-05,4.5592e-06,-3.4402e-08,,,,,,           -7.0896,           -5.0565,          -12.9319,          -10.4938,          608.5077,          -10.2594,          -10.9165,           -0.6947,           -0.4106,          636.9654,
Ref 7,2.14167e-08,,,,,,1.1967e-02,4.2033e-03,4.8891e-05,4.6073e-06,-2.5925e-08,,,,,,,,,,,
Sam 7,1.80762e-08,1.18821e-02,4.1821e-03,4.8261e-05,4.5500e-06,-4.7157e-08,,,,,,           -7.0923,           -5.0484,          -12.8469,          -12.4167,          824.7580,          -10.2626,          -10.9084,           -0.6139,           -2.3694,          857.0171,
Ref 8,2.10336e-08,,,,,,1.1967e-02,4.2033e-03,4.8886e-05,4.6072e-06,-2.5759e-08,,,,,,,,,,,
Sam 8,1.77362e-08,1.18821e-02,4.1819e-03,4.8250e-05,4.5511e-06,-4.6417e-08,,,,,,           -7.0795,           -5.0798,          -13.1151,          -12.2460,          756.5577,          -10.2479,          -10.9397,           -0.8675,           -2.1339,          787.6977,
Ref 9,2.06570e-08,,,,,,1.1967e-02,4.2033e-03,4.8896e-05,4.6078e-06,-2.7103e-08,,,,,,,,,,,
Sam 9,1.74032e-08,1.18818e-02,4.1819e-03,4.8253e-05,4.5481e-06,-4.1736e-08,,,,,,           -7.0888,           -5.0705,          -12.9612,          -11.8193,          483.0963,          -10.2581,          -10.9305,           -0.7112,           -1.7214,          509.3760,
Ref 10,2.02894e-08,,,,,,1.1967e-02,4.2031e-03,4.8878e-05,4.5971e-06,-2.9198e-08,,,,,,,,,,,
Sam 10,1.70798e-08,1.18819e-02,4.1818e-03,4.8241e-05,4.5448e-06,-5.6974e-08,,,,,,           -7.0760,           -5.0663,          -13.0118,          -11.1093,          577.5639,          -10.2446,          -10.9263,           -0.7800,           -1.0128,          605.4820,
Ref 11,1.99293e-08,,,,,,1.1967e-02,4.2031e-03,4.8877e-05,4.5945e-06,-4.3157e-08,,,,,,,,,,,
Sam 11,1.67638e-08,1.18818e-02,4.1818e-03,4.8232e-05,4.5385e-06,-6.7563e-08,,,,,,           -7.0860,           -5.0496,          -13.1662,          -11.8167,          547.9576,          -10.2558,          -10.9096,           -0.9424,           -1.7609,          575.3166,
Ref 12,1.95769e-08,,,,,,1.1967e-02,4.2031e-03,4.8873e-05,4.5910e-06,-4.4144e-08,,,,,,,,,,,
Sam 12,1.64541e-08,1.18816e-02,4.1817e-03,4.8232e-05,4.5371e-06,-8.2125e-08,,,,,,           -7.0887,           -5.0683,          -13.0864,          -11.4546,          673.6412,          -10.2581,          -10.9283,           -0.8403,           -1.3575,          703.2895,
Ref 13,1.92324e-08,,,,,,1.1966e-02,4.2029e-03,4.8870e-05,4.5884e-06,-5.4084e-08,,,,,,,,,,,
Sam 13,1.61521e-08,1.18815e-02,4.1816e-03,4.8230e-05,4.5331e-06,-7.3143e-08,,,,,,           -7.0873,           -5.0562,          -13.0985,          -12.0748,          258.9348,          -10.2570,          -10.9162,           -0.8659,           -2.0083,          281.2044,
Ref 14,1.89006e-08,,,,,,1.1966e-02,4.2029e-03,4.8871e-05,4.5885e-06,-6.2186e-08,,,,,,,,,,,
Sam 14,1.58593e-08,1.18813e-02,4.1815e-03,4.8210e-05,4.5334e-06,-8.1665e-08,,,,,,           -7.0936,           -5.0742,          -13.4285,          -11.5225,          225.8601,          -10.2631,          -10.9341,           -1.1758,           -1.4143,          247.5974,
Ref 15,1.85755e-08,,,,,,1.1966e-02,4.2029e-03,4.8861e-05,4.5840e-06,-7.1129e-08,,,,,,,,,,,
Sam 15,1.55730e-08,1.18814e-02,4.1815e-03,4.8212e-05,4.5203e-06,-9.4052e-08,,,,,,           -7.0846,           -5.0775,          -13.2082,          -13.7096,          354.2434,          -10.2533,          -10.9374,           -0.9588,           -3.6171,          378.2528,
Ref 16,1.82558e-08,,,,,,1.1966e-02,4.2028e-03,4.8853e-05,4.5824e-06,-6.7742e-08,,,,,,,,,,,
Sam 16,1.52876e-08,1.18810e-02,4.1814e-03,4.8209e-05,4.5190e-06,-1.0850e-07,,,,,,           -7.1099,           -5.0699,          -13.1855,          -13.3609,          469.6387,          -10.2805,          -10.9298,           -0.9171,           -3.2800,          495.7119,
Ref 17,1.79397e-08,,,,,,1.1966e-02,4.2027e-03,4.8854e-05,4.5780e-06,-8.0019e-08,,,,,,,,,,,
Sam 17,1.50081e-08,1.18813e-02,4.1815e-03,4.8215e-05,4.5119e-06,-1.1623e-07,,,,,,           -7.0871,           -5.0367,          -13.0951,          -14.1621,          371.2232,          -10.2575,          -10.8969,           -0.8819,           -4.1558,          395.4250,
Ref 18,1.76308e-08,,,,,,1.1966e-02,4.2027e-03,4.8854e-05,4.5755e-06,-8.9586e-08,,,,,,,,,,,
Sam 18,1.47352e-08,1.18810e-02,4.1813e-03,4.8197e-05,4.5091e-06,-1.3190e-07,,,,,,           -7.1048,           -5.0656,          -13.3673,          -14.0151,          378.8393,          -10.2753,          -10.9256,           -1.1106,           -3.9495,          403.2822,
Ref 19,1.73289e-08,,,,,,1.1966e-02,4.2026e-03,4.8845e-05,4.5708e-06,-1.0184e-07,,,,,,,,,,,
Sam 19,1.44668e-08,1.18810e-02,4.1812e-03,4.8197e-05,4.5050e-06,-1.3511e-07,,,,,,           -7.1008,           -5.0879,          -13.2655,          -13.6438,          321.1789,          -10.2703,          -10.9478,           -0.9897,           -3.5297,          344.6533,
Ref 20,1.70334e-08,,,,,,1.1966e-02,4.2026e-03,4.8845e-05,4.5638e-06,-1.0270e-07,,,,,,,,,,,
Sam 20,1.42079e-08,1.18807e-02,4.1811e-03,4.8175e-05,4.5015e-06,-1.3932e-07,,,,,,           -7.1013,           -5.0859,          -13.5939,          -13.5344,          308.3695,          -10.2708,          -10.9457,           -1.3237,           -3.4232,          331.6116,
Ref 21,1.67444e-08,,,,,,1.1966e-02,4.2024e-03,4.8834e-05,4.5627e-06,-1.1034e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.66040e-08,,,,,,1.1966e-02,4.2025e-03,4.8845e-05,4.5653e-06,-1.1231e-07,
Sam 1,1.38289e-08,1.18807e-02,4.1811e-03,4.8180e-05,4.5019e-06,-1.6053e-07,,,,,,           -7.1032,           -5.0889,          -13.4521,          -13.2753,          346.9611,          -10.2728,          -10.9487,           -1.1752,           -3.1555,          370.8996,
Ref 2,1.63228e-08,,,,,,1.1966e-02,4.2024e-03,4.8830e-05,4.5595e-06,-1.2617e-07,,,,,,,,,,,
Sam 2,1.35828e-08,1.18809e-02,4.1811e-03,4.8182e-05,4.4880e-06,-1.7526e-07,,,,,,           -7.0826,           -5.0652,          -13.1711,          -15.4398,          357.6868,          -10.2517,          -10.9252,           -0.9354,           -5.3896,          381.7208,
Ref 3,1.60494e-08,,,,,,1.1966e-02,4.2024e-03,4.8820e-05,4.5572e-06,-1.3206e-07,,,,,,,,,,,
Sam 3,1.33435e-08,1.18807e-02,4.1811e-03,4.8169e-05,4.4867e-06,-1.7369e-07,,,,,,           -7.0886,           -5.0617,          -13.2945,          -14.6532,          258.8411,          -10.2582,          -10.9217,           -1.0575,           -4.6018,          281.1248,
Ref 4,1.57816e-08,,,,,,1.1965e-02,4.2023e-03,4.8817e-05,4.5496e-06,-1.4399e-07,,,,,,,,,,,
Sam 4,1.31077e-08,1.18803e-02,4.1809e-03,4.8167e-05,4.4861e-06,-1.8451e-07,,,,,,           -7.1038,           -5.0928,          -13.3060,          -12.6415,          254.4035,          -10.2732,          -10.9526,           -1.0228,           -2.5073,          276.7079,
Ref 5,1.55155e-08,,,,,,1.1965e-02,4.2022e-03,4.8817e-05,4.5374e-06,-1.5024e-07,,,,,,,,,,,
Sam 5,1.28760e-08,1.18803e-02,4.1809e-03,4.8169e-05,4.4692e-06,-2.0348e-07,,,,,,           -7.1001,           -5.0743,          -13.2421,          -14.8353,          362.6799,          -10.2700,          -10.9342,           -0.9802,           -4.7608,          386.8531,
Ref 6,1.52591e-08,,,,,,1.1965e-02,4.2023e-03,4.8815e-05,4.5356e-06,-1.4839e-07,,,,,,,,,,,
Sam 6,1.26513e-08,1.18802e-02,4.1808e-03,4.8156e-05,4.4743e-06,-2.0814e-07,,,,,,           -7.1077,           -5.0998,          -13.3450,          -13.3223,          333.1065,          -10.2772,          -10.9595,           -1.0513,           -3.1812,          356.8345,
Ref 7,1.50086e-08,,,,,,1.1965e-02,4.2021e-03,4.8799e-05,4.5337e-06,-1.6400e-07,,,,,,,,,,,
Sam 7,1.24299e-08,1.18802e-02,4.1807e-03,4.8152e-05,4.4681e-06,-2.2274e-07,,,,,,           -7.1135,           -5.0996,          -13.3810,          -14.3200,          300.0185,          -10.2834,          -10.9594,           -1.0819,           -4.1895,          323.1655,
Ref 8,1.47620e-08,,,,,,1.1965e-02,4.2021e-03,4.8811e-05,4.5324e-06,-1.7879e-07,,,,,,,,,,,
Sam 8,1.22162e-08,1.18800e-02,4.1807e-03,4.8137e-05,4.4531e-06,-2.3552e-07,,,,,,           -7.1160,           -5.0853,          -13.5820,          -16.9460,          328.9276,          -10.2865,          -10.9452,           -1.2969,           -6.8710,          352.5547,
Ref 9,1.45215e-08,,,,,,1.1965e-02,4.2020e-03,4.8789e-05,4.5274e-06,-1.7563e-07,,,,,,,,,,,
Sam 9,1.20006e-08,1.18801e-02,4.1806e-03,4.8121e-05,4.4542e-06,-2.3631e-07,,,,,,           -7.0959,           -5.0862,          -13.7942,          -15.9067,          264.9224,          -10.2652,          -10.9460,           -1.5317,           -5.8193,          287.3860,
Ref 10,1.42838e-08,,,,,,1.1965e-02,4.2020e-03,4.8799e-05,4.5250e-06,-1.9818e-07,,,,,,,,,,,
Sam 10,1.17966e-08,1.18799e-02,4.1806e-03,4.8121e-05,4.4430e-06,-2.6615e-07,,,,,,           -7.1093,           -5.0870,          -13.7165,          -17.3882,          298.1315,          -10.2794,          -10.9469,           -1.4383,           -7.3143,          321.2060,
Ref 11,1.40521e-08,,,,,,1.1965e-02,4.2019e-03,4.8781e-05,4.5183e-06,-2.1197e-07,,,,,,,,,,,
Sam 11,1.15920e-08,1.18800e-02,4.1805e-03,4.8124e-05,4.4306e-06,-2.8633e-07,,,,,,           -7.1031,           -5.0876,          -13.5375,          -19.0830,          316.2807,          -10.2728,          -10.9475,           -1.2629,           -9.0253,          339.6706,
Ref 12,1.38250e-08,,,,,,1.1965e-02,4.2019e-03,4.8787e-05,4.5154e-06,-2.2318e-07,,,,,,,,,,,
Sam 12,1.13950e-08,1.18799e-02,4.1805e-03,4.8106e-05,4.4364e-06,-2.7956e-07,,,,,,           -7.0985,           -5.0780,          -13.8312,          -17.0974,          236.4926,          -10.2681,          -10.9379,           -1.5746,           -7.0386,          258.4345,
Ref 13,1.36033e-08,,,,,,1.1965e-02,4.2018e-03,4.8774e-05,4.5117e-06,-2.2905e-07,,,,,,,,,,,
Sam 13,1.11994e-08,1.18798e-02,4.1804e-03,4.8106e-05,4.4265e-06,-2.9755e-07,,,,,,           -7.1058,           -5.0812,          -13.5024,          -17.8960,          268.7381,          -10.2759,          -10.9411,           -1.2309,           -7.8389,          291.2706,
Ref 14,1.33845e-08,,,,,,1.1965e-02,4.2018e-03,4.8754e-05,4.5024e-06,-2.4009e-07,,,,,,,,,,,
Sam 14,1.10089e-08,1.18796e-02,4.1803e-03,4.8097e-05,4.4246e-06,-2.9461e-07,,,,,,           -7.1198,           -5.1081,          -13.6455,          -16.8281,          212.5162,          -10.2898,          -10.9678,           -1.3348,           -6.7063,          234.1343,
Ref 15,1.31691e-08,,,,,,1.1965e-02,4.2018e-03,4.8770e-05,4.4981e-06,-2.4590e-07,,,,,,,,,,,
Sam 15,1.08205e-08,1.18797e-02,4.1802e-03,4.8087e-05,4.4060e-06,-3.1005e-07,,,,,,           -7.0890,           -5.1283,          -13.8781,          -20.8856,          278.0817,          -10.2563,          -10.9880,           -1.5822,          -10.7654,          300.8778,
Ref 16,1.29589e-08,,,,,,1.1964e-02,4.2017e-03,4.8757e-05,4.5018e-06,-2.3923e-07,,,,,,,,,,,
Sam 16,1.06365e-08,1.18794e-02,4.1802e-03,4.8090e-05,4.3888e-06,-3.2298e-07,,,,,,           -7.1061,           -5.0972,          -13.6555,          -23.4185,          336.3122,          -10.2756,          -10.9570,           -1.3698,          -13.3862,          360.0880,
Ref 17,1.27533e-08,,,,,,1.1964e-02,4.2016e-03,4.8755e-05,4.4862e-06,-2.4420e-07,,,,,,,,,,,
Sam 17,1.04566e-08,1.18795e-02,4.1801e-03,4.8073e-05,4.3963e-06,-3.2166e-07,,,,,,           -7.0949,           -5.0998,          -13.8964,          -18.8773,          271.6340,          -10.2636,          -10.9596,           -1.6228,           -8.7933,          294.2502,
Ref 18,1.25512e-08,,,,,,1.1964e-02,4.2015e-03,4.8746e-05,4.4756e-06,-2.6184e-07,,,,,,,,,,,
Sam 18,1.02793e-08,1.18791e-02,4.1800e-03,4.8064e-05,4.3873e-06,-3.3521e-07,,,,,,           -7.1234,           -5.1290,          -13.8305,          -20.9509,          235.8724,          -10.2928,          -10.9886,           -1.4978,          -10.8300,          257.9636,
Ref 19,1.23515e-08,,,,,,1.1964e-02,4.2015e-03,4.8730e-05,4.4869e-06,-2.8078e-07,,,,,,,,,,,
Sam 19,1.01037e-08,1.18793e-02,4.1801e-03,4.8056e-05,4.3874e-06,-3.5265e-07,,,,,,           -7.1063,           -5.0655,          -13.7858,          -20.2536,          233.0765,          -10.2769,          -10.9254,           -1.5328,          -10.2519,          254.9373,
