Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 18, 2021 at 22:34 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 18, 2021 at 23:33 with Stable 1.71.5 on PS019

Data File = Data_13671 ETH-02.txt,        Sample Weight = 390,                      Vial Location = 24,                       Initial Sam Beam = 1.3265e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0757e-08,                Max Ref Beam = 1.0618e-07,                

Analysis undertaken at mass 46.00468
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.36896e-08,,,,,,1.1967e-02,4.2028e-03,4.8871e-05,4.6329e-06,5.9110e-08,
Sam 1,5.33258e-08,1.18836e-02,4.1816e-03,4.8254e-05,4.5897e-06,5.6130e-08,,,,,,           -7.0103,           -5.0767,          -12.7380,          -10.0028,          -57.3325,          -10.1743,          -10.9368,           -0.5607,            0.1260,          -40.6976,
Ref 2,5.29917e-08,,,,,,1.1968e-02,4.2031e-03,4.8881e-05,4.6393e-06,5.9983e-08,,,,,,,,,,,
Sam 2,5.25761e-08,1.18838e-02,4.1818e-03,4.8258e-05,4.5910e-06,5.8056e-08,,,,,,           -7.0290,           -5.0875,          -12.8415,          -10.6941,          -39.3351,          -10.1939,          -10.9475,           -0.6352,           -0.5505,          -22.3419,
Ref 3,5.22556e-08,,,,,,1.1968e-02,4.2033e-03,4.8891e-05,4.6420e-06,6.0890e-08,,,,,,,,,,,
Sam 3,5.18320e-08,1.18839e-02,4.1819e-03,4.8258e-05,4.5940e-06,5.8731e-08,,,,,,           -7.0238,           -5.0790,          -12.9121,          -10.1881,          -42.0972,          -10.1886,          -10.9391,           -0.7205,           -0.0564,          -25.1747,
Ref 4,5.15268e-08,,,,,,1.1968e-02,4.2032e-03,4.8887e-05,4.6405e-06,6.1740e-08,,,,,,,,,,,
Sam 4,5.10948e-08,1.18838e-02,4.1818e-03,4.8259e-05,4.5914e-06,5.9358e-08,,,,,,           -7.0244,           -5.1001,          -12.8602,          -10.9146,          -49.1073,          -10.1886,          -10.9600,           -0.6466,           -0.7482,          -32.2677,
Ref 5,5.08206e-08,,,,,,1.1968e-02,4.2033e-03,4.8889e-05,4.6435e-06,6.3115e-08,,,,,,,,,,,
Sam 5,5.03825e-08,1.18839e-02,4.1819e-03,4.8265e-05,4.5974e-06,6.1368e-08,,,,,,           -7.0140,           -5.0954,          -12.8396,          -10.1238,          -34.4938,          -10.1776,          -10.9554,           -0.6411,            0.0413,          -17.4155,
Ref 6,5.01260e-08,,,,,,1.1968e-02,4.2033e-03,4.8896e-05,4.6454e-06,6.4011e-08,,,,,,,,,,,
Sam 6,4.96799e-08,1.18839e-02,4.1819e-03,4.8271e-05,4.5966e-06,6.3946e-08,,,,,,           -7.0193,           -5.0818,          -12.8528,          -10.6277,          -17.4299,          -10.1838,          -10.9419,           -0.6624,           -0.4949,           -0.0708,
Ref 7,4.94443e-08,,,,,,1.1968e-02,4.2033e-03,4.8902e-05,4.6465e-06,6.6163e-08,,,,,,,,,,,
Sam 7,4.89895e-08,1.18839e-02,4.1819e-03,4.8267e-05,4.5952e-06,6.6686e-08,,,,,,           -7.0156,           -5.0800,          -12.9108,          -11.0098,          -32.6708,          -10.1799,          -10.9401,           -0.7267,           -0.8845,          -15.5884,
Ref 8,4.87731e-08,,,,,,1.1968e-02,4.2033e-03,4.8894e-05,4.6463e-06,7.1752e-08,,,,,,,,,,,
Sam 8,4.83178e-08,1.18838e-02,4.1819e-03,4.8268e-05,4.5967e-06,7.1015e-08,,,,,,           -7.0163,           -5.0871,          -12.8436,          -10.8708,          -12.0778,          -10.1804,          -10.9472,           -0.6509,           -0.7298,            5.3830,
Ref 9,4.81231e-08,,,,,,1.1968e-02,4.2033e-03,4.8899e-05,4.6480e-06,7.2015e-08,,,,,,,,,,,
Sam 9,4.76559e-08,1.18838e-02,4.1819e-03,4.8274e-05,4.5999e-06,7.1265e-08,,,,,,           -7.0212,           -5.0971,          -12.7867,          -10.5245,          -25.6701,          -10.1852,          -10.9571,           -0.5784,           -0.3600,           -8.4247,
Ref 10,4.74728e-08,,,,,,1.1968e-02,4.2033e-03,4.8900e-05,4.6496e-06,7.4286e-08,,,,,,,,,,,
Sam 10,4.70054e-08,1.18837e-02,4.1819e-03,4.8276e-05,4.6002e-06,7.4972e-08,,,,,,           -7.0245,           -5.0901,          -12.8007,          -10.4304,            0.9571,          -10.1890,          -10.9501,           -0.5961,           -0.2790,           18.6632,
Ref 11,4.68380e-08,,,,,,1.1968e-02,4.2033e-03,4.8905e-05,4.6478e-06,7.5522e-08,,,,,,,,,,,
Sam 11,4.63629e-08,1.18838e-02,4.1819e-03,4.8277e-05,4.5988e-06,7.9636e-08,,,,,,           -7.0129,           -5.0823,          -12.8555,          -10.6519,            5.3525,          -10.1769,          -10.9424,           -0.6713,           -0.5184,           23.1079,
Ref 12,4.62126e-08,,,,,,1.1968e-02,4.2033e-03,4.8906e-05,4.6489e-06,8.2952e-08,,,,,,,,,,,
Sam 12,4.57333e-08,1.18838e-02,4.1819e-03,4.8279e-05,4.6031e-06,8.1487e-08,,,,,,           -7.0177,           -5.0863,          -12.9033,           -9.8678,          -19.0962,          -10.1819,          -10.9463,           -0.7107,            0.2817,           -1.7595,
Ref 13,4.56038e-08,,,,,,1.1968e-02,4.2032e-03,4.8913e-05,4.6490e-06,8.3196e-08,,,,,,,,,,,
Sam 13,4.51202e-08,1.18837e-02,4.1819e-03,4.8285e-05,4.6052e-06,8.4156e-08,,,,,,           -7.0245,           -5.0765,          -12.8350,           -9.5587,           -8.1894,          -10.1894,          -10.9365,           -0.6443,            0.5742,            9.3277,
Ref 14,4.50039e-08,,,,,,1.1968e-02,4.2033e-03,4.8912e-05,4.6503e-06,8.6527e-08,,,,,,,,,,,
Sam 14,4.45176e-08,1.18837e-02,4.1819e-03,4.8288e-05,4.6059e-06,8.2266e-08,,,,,,           -7.0233,           -5.0874,          -12.8034,           -9.9516,          -45.3327,          -10.1878,          -10.9474,           -0.6027,            0.1993,          -28.4518,
Ref 15,4.44129e-08,,,,,,1.1968e-02,4.2033e-03,4.8915e-05,4.6541e-06,8.5814e-08,,,,,,,,,,,
Sam 15,4.39269e-08,1.18836e-02,4.1819e-03,4.8287e-05,4.6051e-06,8.2689e-08,,,,,,           -7.0230,           -5.0864,          -12.8533,          -10.5502,          -51.4890,          -10.1875,          -10.9465,           -0.6545,           -0.4074,          -34.7191,
Ref 16,4.38298e-08,,,,,,1.1968e-02,4.2033e-03,4.8915e-05,4.6544e-06,8.8559e-08,,,,,,,,,,,
Sam 16,4.33369e-08,1.18836e-02,4.1819e-03,4.8288e-05,4.6093e-06,8.4957e-08,,,,,,           -7.0158,           -5.0778,          -12.8238,          -10.1288,          -59.3728,          -10.1802,          -10.9379,           -0.6406,            0.0009,          -42.7659,
Ref 17,4.32632e-08,,,,,,1.1968e-02,4.2033e-03,4.8915e-05,4.6586e-06,9.2104e-08,,,,,,,,,,,
Sam 17,4.27679e-08,1.18834e-02,4.1818e-03,4.8290e-05,4.6106e-06,8.7605e-08,,,,,,           -7.0299,           -5.1070,          -12.8011,          -10.2242,          -58.1728,          -10.1941,          -10.9669,           -0.5743,           -0.0367,          -41.4750,
Ref 18,4.27006e-08,,,,,,1.1968e-02,4.2033e-03,4.8917e-05,4.6578e-06,9.3941e-08,,,,,,,,,,,
Sam 18,4.22025e-08,1.18834e-02,4.1819e-03,4.8294e-05,4.6091e-06,8.7855e-08,,,,,,           -7.0256,           -5.0861,          -12.8269,          -10.4988,          -50.3425,          -10.1903,          -10.9461,           -0.6255,           -0.3563,          -33.5503,
Ref 19,4.21521e-08,,,,,,1.1967e-02,4.2032e-03,4.8925e-05,4.6582e-06,9.1066e-08,,,,,,,,,,,
Sam 19,4.16485e-08,1.18834e-02,4.1819e-03,4.8294e-05,4.6103e-06,9.5481e-08,,,,,,           -7.0289,           -5.0722,          -12.8959,          -10.4696,           21.9397,          -10.1942,          -10.9323,           -0.7056,           -0.3545,           39.9851,
Ref 20,4.16098e-08,,,,,,1.1967e-02,4.2032e-03,4.8924e-05,4.6599e-06,9.5828e-08,,,,,,,,,,,
Sam 20,4.11017e-08,1.18834e-02,4.1819e-03,4.8295e-05,4.6147e-06,9.4715e-08,,,,,,           -7.0173,           -5.0669,          -12.8916,           -9.6780,          -19.0483,          -10.1821,          -10.9270,           -0.7185,            0.4344,           -1.7495,
Ref 21,4.10796e-08,,,,,,1.1967e-02,4.2032e-03,4.8927e-05,4.6596e-06,9.7291e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.08231e-08,,,,,,1.1967e-02,4.2032e-03,4.8929e-05,4.6642e-06,9.4696e-08,
Sam 1,4.02925e-08,1.18833e-02,4.1818e-03,4.8296e-05,4.6146e-06,9.5601e-08,,,,,,           -7.0245,           -5.0867,          -12.9445,          -10.9031,          -20.6003,          -10.1892,          -10.9467,           -0.7450,           -0.7634,           -3.2821,
Ref 2,4.02966e-08,,,,,,1.1967e-02,4.2032e-03,4.8930e-05,4.6667e-06,1.0057e-07,,,,,,,,,,,
Sam 2,3.97638e-08,1.18834e-02,4.1819e-03,4.8303e-05,4.6123e-06,9.8747e-08,,,,,,           -7.0179,           -5.0730,          -12.8479,          -11.2700,          -31.5713,          -10.1826,          -10.9331,           -0.6675,           -1.1615,          -14.4807,
Ref 3,3.97824e-08,,,,,,1.1967e-02,4.2032e-03,4.8932e-05,4.6631e-06,1.0339e-07,,,,,,,,,,,
Sam 3,3.92464e-08,1.18833e-02,4.1818e-03,4.8298e-05,4.6204e-06,9.9512e-08,,,,,,           -7.0214,           -5.0932,          -13.0036,           -9.4010,          -36.5416,          -10.1855,          -10.9532,           -0.8017,            0.7672,          -19.4961,
Ref 4,3.92806e-08,,,,,,1.1967e-02,4.2032e-03,4.8936e-05,4.6653e-06,1.0319e-07,,,,,,,,,,,
Sam 4,3.87335e-08,1.18831e-02,4.1817e-03,4.8304e-05,4.6190e-06,1.0186e-07,,,,,,           -7.0267,           -5.0994,          -12.8231,          -10.1208,          -24.7892,          -10.1910,          -10.9593,           -0.6073,            0.0524,           -7.5180,
Ref 5,3.87879e-08,,,,,,1.1967e-02,4.2031e-03,4.8928e-05,4.6672e-06,1.0573e-07,,,,,,,,,,,
Sam 5,3.82323e-08,1.18830e-02,4.1817e-03,4.8305e-05,4.6186e-06,1.0689e-07,,,,,,           -7.0266,           -5.0921,          -12.8140,          -10.3895,           -1.2020,          -10.1911,          -10.9521,           -0.6054,           -0.2337,           16.4722,
Ref 6,3.83016e-08,,,,,,1.1967e-02,4.2031e-03,4.8936e-05,4.6671e-06,1.0833e-07,,,,,,,,,,,
Sam 6,3.77399e-08,1.18831e-02,4.1817e-03,4.8313e-05,4.6215e-06,1.1161e-07,,,,,,           -7.0126,           -5.0843,          -12.6888,          -10.3355,           -2.2422,          -10.1765,          -10.9444,           -0.5009,           -0.1948,           15.3827,
Ref 7,3.78259e-08,,,,,,1.1967e-02,4.2031e-03,4.8932e-05,4.6725e-06,1.1542e-07,,,,,,,,,,,
Sam 7,3.72597e-08,1.18830e-02,4.1817e-03,4.8308e-05,4.6225e-06,1.1308e-07,,,,,,           -7.0241,           -5.0824,          -12.8176,          -10.3617,          -34.1148,          -10.1888,          -10.9424,           -0.6212,           -0.2252,          -17.0445,
Ref 8,3.73558e-08,,,,,,1.1967e-02,4.2031e-03,4.8938e-05,4.6693e-06,1.1874e-07,,,,,,,,,,,
Sam 8,3.67848e-08,1.18830e-02,4.1816e-03,4.8305e-05,4.6249e-06,1.1915e-07,,,,,,           -7.0107,           -5.0908,          -12.9905,          -10.2797,           -9.1627,          -10.1742,          -10.9509,           -0.8019,           -0.1253,            8.3509,
Ref 9,3.68957e-08,,,,,,1.1967e-02,4.2030e-03,4.8944e-05,4.6766e-06,1.2179e-07,,,,,,,,,,,
Sam 9,3.63220e-08,1.18829e-02,4.1816e-03,4.8311e-05,4.6260e-06,1.1853e-07,,,,,,           -7.0136,           -5.0882,          -12.8695,          -10.5192,          -18.4674,          -10.1775,          -10.9482,           -0.6789,           -0.3726,           -1.1203,
Ref 10,3.64427e-08,,,,,,1.1967e-02,4.2030e-03,4.8938e-05,4.6737e-06,1.1971e-07,,,,,,,,,,,
Sam 10,3.58667e-08,1.18828e-02,4.1817e-03,4.8313e-05,4.6251e-06,1.1594e-07,,,,,,           -7.0268,           -5.0694,          -12.8265,          -10.5489,          -23.3105,          -10.1922,          -10.9295,           -0.6403,           -0.4403,           -6.0718,
Ref 11,3.59969e-08,,,,,,1.1967e-02,4.2030e-03,4.8945e-05,4.6750e-06,1.1770e-07,,,,,,,,,,,
Sam 11,3.54157e-08,1.18827e-02,4.1816e-03,4.8320e-05,4.6300e-06,1.2302e-07,,,,,,           -7.0320,           -5.0813,          -12.8470,           -9.8515,           20.3218,          -10.1973,          -10.9414,           -0.6438,            0.2883,           38.3608,
Ref 12,3.55562e-08,,,,,,1.1967e-02,4.2030e-03,4.8952e-05,4.6771e-06,1.2348e-07,,,,,,,,,,,
Sam 12,3.49738e-08,1.18827e-02,4.1816e-03,4.8323e-05,4.6291e-06,1.2481e-07,,,,,,           -7.0321,           -5.0785,          -12.7876,          -10.5789,            4.3122,          -10.1975,          -10.9386,           -0.5864,           -0.4522,           22.0627,
Ref 13,3.51262e-08,,,,,,1.1967e-02,4.2029e-03,4.8947e-05,4.6801e-06,1.2507e-07,,,,,,,,,,,
Sam 13,3.45458e-08,1.18827e-02,4.1815e-03,4.8320e-05,4.6321e-06,1.2970e-07,,,,,,           -7.0186,           -5.0812,          -12.7630,          -10.1538,           33.7118,          -10.1830,          -10.9412,           -0.5728,           -0.0175,           51.9721,
Ref 14,3.47057e-08,,,,,,1.1967e-02,4.2029e-03,4.8944e-05,4.6790e-06,1.2587e-07,,,,,,,,,,,
Sam 14,3.41180e-08,1.18827e-02,4.1815e-03,4.8318e-05,4.6329e-06,1.2418e-07,,,,,,           -7.0074,           -5.0834,          -12.8279,           -9.7272,          -20.6078,          -10.1711,          -10.9435,           -0.6479,            0.4180,           -3.3145,
Ref 15,3.42890e-08,,,,,,1.1967e-02,4.2029e-03,4.8947e-05,4.6777e-06,1.2773e-07,,,,,,,,,,,
Sam 15,3.36959e-08,1.18825e-02,4.1815e-03,4.8323e-05,4.6358e-06,1.2731e-07,,,,,,           -7.0190,           -5.0817,          -12.7763,           -9.3465,          -21.9875,          -10.1835,          -10.9418,           -0.5853,            0.7992,           -4.7095,
Ref 16,3.38767e-08,,,,,,1.1966e-02,4.2029e-03,4.8949e-05,4.6813e-06,1.3265e-07,,,,,,,,,,,
Sam 16,3.32754e-08,1.18825e-02,4.1815e-03,4.8317e-05,4.6358e-06,1.2905e-07,,,,,,           -7.0253,           -5.0805,          -12.9362,           -9.9667,          -31.8093,          -10.1901,          -10.9405,           -0.7420,            0.1702,          -14.7007,
Ref 17,3.34696e-08,,,,,,1.1967e-02,4.2029e-03,4.8952e-05,4.6835e-06,1.3394e-07,,,,,,,,,,,
Sam 17,3.28625e-08,1.18824e-02,4.1815e-03,4.8329e-05,4.6367e-06,1.3143e-07,,,,,,           -7.0256,           -5.0866,          -12.8041,          -10.1090,          -46.8522,          -10.1903,          -10.9466,           -0.6019,            0.0385,          -29.9974,
Ref 18,3.30702e-08,,,,,,1.1966e-02,4.2028e-03,4.8959e-05,4.6846e-06,1.4190e-07,,,,,,,,,,,
Sam 18,3.24586e-08,1.18823e-02,4.1815e-03,4.8324e-05,4.6409e-06,1.3921e-07,,,,,,           -7.0262,           -5.0749,          -12.9571,           -9.7744,          -10.1814,          -10.1913,          -10.9350,           -0.7677,            0.3531,            7.2992,
Ref 19,3.26774e-08,,,,,,1.1966e-02,4.2028e-03,4.8957e-05,4.6889e-06,1.3937e-07,,,,,,,,,,,
Sam 19,3.20595e-08,1.18823e-02,4.1814e-03,4.8325e-05,4.6379e-06,1.4518e-07,,,,,,           -7.0179,           -5.0877,          -12.8892,          -10.6191,           32.2764,          -10.1820,          -10.9477,           -0.6950,           -0.4746,           50.5240,
Ref 20,3.22904e-08,,,,,,1.1966e-02,4.2028e-03,4.8954e-05,4.6865e-06,1.4192e-07,,,,,,,,,,,
Sam 20,3.16654e-08,1.18822e-02,4.1814e-03,4.8336e-05,4.6422e-06,1.4539e-07,,,,,,           -7.0179,           -5.0771,          -12.6564,           -9.6083,          -10.2466,          -10.1824,          -10.9372,           -0.4697,            0.5254,            7.2283,
Ref 21,3.19070e-08,,,,,,1.1966e-02,4.2027e-03,4.8957e-05,4.6880e-06,1.5192e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.17222e-08,,,,,,1.1966e-02,4.2027e-03,4.8968e-05,4.6939e-06,1.5490e-07,
Sam 1,3.10900e-08,1.18822e-02,4.1813e-03,4.8329e-05,4.6441e-06,1.5300e-07,,,,,,           -7.0118,           -5.0817,          -12.9753,          -10.1980,          -20.8729,          -10.1757,          -10.9417,           -0.7944,           -0.0611,           -3.5832,
Ref 2,3.13457e-08,,,,,,1.1966e-02,4.2027e-03,4.8961e-05,4.6901e-06,1.5763e-07,,,,,,,,,,,
Sam 2,3.07098e-08,1.18820e-02,4.1813e-03,4.8338e-05,4.6489e-06,1.5771e-07,,,,,,           -7.0120,           -5.0783,          -12.8444,           -8.7866,           -8.9098,          -10.1761,          -10.9383,           -0.6650,            1.3578,            8.5847,
Ref 3,3.09761e-08,,,,,,1.1966e-02,4.2026e-03,4.8973e-05,4.6901e-06,1.6065e-07,,,,,,,,,,,
Sam 3,3.03421e-08,1.18819e-02,4.1813e-03,4.8341e-05,4.6503e-06,1.5870e-07,,,,,,           -7.0196,           -5.0760,          -12.8530,           -9.2027,          -17.2774,          -10.1842,          -10.9361,           -0.6680,            0.9330,            0.0731,
Ref 4,3.06139e-08,,,,,,1.1966e-02,4.2026e-03,4.8968e-05,4.6968e-06,1.6234e-07,,,,,,,,,,,
Sam 4,2.99772e-08,1.18819e-02,4.1812e-03,4.8342e-05,4.6501e-06,1.6703e-07,,,,,,           -7.0263,           -5.0855,          -12.8027,          -10.1791,            9.7113,          -10.1911,          -10.9455,           -0.6008,           -0.0345,           27.5649,
Ref 5,3.02568e-08,,,,,,1.1966e-02,4.2026e-03,4.8970e-05,4.6991e-06,1.6853e-07,,,,,,,,,,,
Sam 5,2.96159e-08,1.18820e-02,4.1812e-03,4.8352e-05,4.6521e-06,1.6676e-07,,,,,,           -7.0107,           -5.0871,          -12.6450,           -9.7360,          -20.7760,          -10.1744,          -10.9472,           -0.4557,            0.4166,           -3.4748,
Ref 6,2.99023e-08,,,,,,1.1966e-02,4.2026e-03,4.8973e-05,4.6965e-06,1.7208e-07,,,,,,,,,,,
Sam 6,2.92611e-08,1.18818e-02,4.1812e-03,4.8349e-05,4.6538e-06,1.7053e-07,,,,,,           -7.0177,           -5.0842,          -12.7488,           -9.2377,          -20.5795,          -10.1819,          -10.9443,           -0.5564,            0.9142,           -3.2732,
Ref 7,2.95619e-08,,,,,,1.1966e-02,4.2024e-03,4.8974e-05,4.6978e-06,1.7617e-07,,,,,,,,,,,
Sam 7,2.89167e-08,1.18816e-02,4.1812e-03,4.8347e-05,4.6571e-06,1.7714e-07,,,,,,           -7.0309,           -5.0636,          -12.8704,           -9.3274,           -3.9843,          -10.1967,          -10.9237,           -0.6862,            0.7820,           13.5882,
Ref 8,2.92205e-08,,,,,,1.1966e-02,4.2025e-03,4.8980e-05,4.7043e-06,1.7955e-07,,,,,,,,,,,
Sam 8,2.85753e-08,1.18816e-02,4.1812e-03,4.8352e-05,4.6554e-06,1.8292e-07,,,,,,           -7.0206,           -5.0701,          -12.8341,          -10.5846,            4.1804,          -10.1855,          -10.9302,           -0.6538,           -0.4750,           21.8988,
Ref 9,2.88897e-08,,,,,,1.1966e-02,4.2025e-03,4.8981e-05,4.7062e-06,1.8479e-07,,,,,,,,,,,
Sam 9,2.82395e-08,1.18815e-02,4.1811e-03,4.8365e-05,4.6623e-06,1.8684e-07,,,,,,           -7.0295,           -5.0920,          -12.5701,           -8.5560,           -2.3081,          -10.1942,          -10.9520,           -0.3556,            1.6185,           15.3495,
Ref 10,2.85589e-08,,,,,,1.1966e-02,4.2024e-03,4.8980e-05,4.6990e-06,1.8978e-07,,,,,,,,,,,
Sam 10,2.79074e-08,1.18817e-02,4.1811e-03,4.8366e-05,4.6632e-06,1.8538e-07,,,,,,           -7.0045,           -5.0609,          -12.6406,           -8.8699,          -34.5982,          -10.1687,          -10.9211,           -0.4836,            1.2388,          -17.5987,
Ref 11,2.82301e-08,,,,,,1.1965e-02,4.2024e-03,4.8991e-05,4.7110e-06,1.9429e-07,,,,,,,,,,,
Sam 11,2.75794e-08,1.18814e-02,4.1811e-03,4.8356e-05,4.6567e-06,1.9110e-07,,,,,,           -7.0198,           -5.0713,          -12.9260,          -11.3136,           -5.2874,          -10.1847,          -10.9314,           -0.7464,           -1.2090,           12.2656,
Ref 12,2.79122e-08,,,,,,1.1965e-02,4.2024e-03,4.8988e-05,4.7090e-06,1.8993e-07,,,,,,,,,,,
Sam 12,2.72579e-08,1.18813e-02,4.1810e-03,4.8359e-05,4.6666e-06,1.8893e-07,,,,,,           -7.0299,           -5.0823,          -12.8777,           -9.6613,          -16.5114,          -10.1950,          -10.9423,           -0.6761,            0.4823,            0.8762,
Ref 13,2.75959e-08,,,,,,1.1965e-02,4.2024e-03,4.8992e-05,4.7152e-06,1.9430e-07,,,,,,,,,,,
Sam 13,2.69403e-08,1.18813e-02,4.1810e-03,4.8366e-05,4.6690e-06,1.9860e-07,,,,,,           -7.0156,           -5.0785,          -12.7650,           -9.7929,            6.4246,          -10.1799,          -10.9386,           -0.5806,            0.3418,           24.1942,
Ref 14,2.72834e-08,,,,,,1.1965e-02,4.2023e-03,4.8991e-05,4.7151e-06,2.0039e-07,,,,,,,,,,,
Sam 14,2.66263e-08,1.18813e-02,4.1810e-03,4.8366e-05,4.6654e-06,2.0469e-07,,,,,,           -7.0154,           -5.0656,          -12.7655,          -10.9436,           11.7776,          -10.1802,          -10.9258,           -0.5940,           -0.8466,           29.6153,
Ref 15,2.69756e-08,,,,,,1.1965e-02,4.2023e-03,4.8992e-05,4.7190e-06,2.0424e-07,,,,,,,,,,,
Sam 15,2.63177e-08,1.18812e-02,4.1809e-03,4.8362e-05,4.6702e-06,2.1072e-07,,,,,,           -7.0143,           -5.0747,          -12.8806,          -10.4150,           13.2998,          -10.1787,          -10.9348,           -0.7028,           -0.2944,           31.1816,
Ref 16,2.66745e-08,,,,,,1.1965e-02,4.2022e-03,4.8993e-05,4.7197e-06,2.1170e-07,,,,,,,,,,,
Sam 16,2.60129e-08,1.18812e-02,4.1810e-03,4.8370e-05,4.6714e-06,2.1087e-07,,,,,,           -7.0043,           -5.0495,          -12.7505,          -10.5867,          -12.4507,          -10.1689,          -10.9098,           -0.6063,           -0.5184,            4.9160,
Ref 17,2.63750e-08,,,,,,1.1965e-02,4.2022e-03,4.8997e-05,4.7230e-06,2.1537e-07,,,,,,,,,,,
Sam 17,2.57113e-08,1.18810e-02,4.1808e-03,4.8368e-05,4.6787e-06,2.1829e-07,,,,,,           -7.0226,           -5.0786,          -12.8890,           -9.5263,           -1.6341,          -10.1874,          -10.9387,           -0.6988,            0.6112,           16.0011,
Ref 18,2.60840e-08,,,,,,1.1965e-02,4.2022e-03,4.9002e-05,4.7245e-06,2.2197e-07,,,,,,,,,,,
Sam 18,2.54153e-08,1.18811e-02,4.1808e-03,4.8365e-05,4.6762e-06,2.2696e-07,,,,,,           -7.0183,           -5.0840,          -12.9329,          -10.1050,           19.8471,          -10.1826,          -10.9441,           -0.7424,            0.0375,           37.8680,
Ref 19,2.57939e-08,,,,,,1.1965e-02,4.2021e-03,4.8997e-05,4.7234e-06,2.2313e-07,,,,,,,,,,,
Sam 19,2.51247e-08,1.18808e-02,4.1808e-03,4.8369e-05,4.6808e-06,2.2427e-07,,,,,,           -7.0432,           -5.0795,          -12.8831,           -9.1744,           -7.0494,          -10.2093,          -10.9395,           -0.6705,            0.9686,           10.5142,
Ref 20,2.55064e-08,,,,,,1.1965e-02,4.2022e-03,4.9003e-05,4.7250e-06,2.2861e-07,,,,,,,,,,,
