Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 19, 2021 at 21:41 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 19, 2021 at 22:40 with Stable 1.71.5 on PS019

Data File = Data_13687 NO-43.txt,         Sample Weight = 427,                      Vial Location = 41,                       Initial Sam Beam = 1.3701e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1218e-08,                Max Ref Beam = 1.0574e-07,                

Analysis undertaken at mass 46.00677
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.54691e-08,,,,,,1.1970e-02,4.2045e-03,4.8894e-05,4.6343e-06,6.1446e-08,
Sam 1,5.51225e-08,1.20173e-02,4.2331e-03,4.9395e-05,4.6940e-06,5.9815e-08,,,,,,            3.9372,            6.7759,           10.1776,           12.6234,          -21.4860,            1.0659,            0.8346,           -0.5691,           -0.9613,          -38.4249,
Ref 2,5.47299e-08,,,,,,1.1970e-02,4.2048e-03,4.8901e-05,4.6366e-06,6.0806e-08,,,,,,,,,,,
Sam 2,5.43452e-08,1.20176e-02,4.2333e-03,4.9401e-05,4.6958e-06,5.9371e-08,,,,,,            3.9231,            6.7494,           10.2080,           13.2662,          -22.9102,            1.0518,            0.8082,           -0.4987,           -0.2743,          -39.7604,
Ref 3,5.39601e-08,,,,,,1.1971e-02,4.2050e-03,4.8902e-05,4.6319e-06,6.0719e-08,,,,,,,,,,,
Sam 3,5.35695e-08,1.20177e-02,4.2334e-03,4.9410e-05,4.6994e-06,5.7817e-08,,,,,,            3.9228,            6.7575,           10.3449,           13.6534,          -46.9362,            1.0512,            0.8163,           -0.3708,            0.0916,          -63.3866,
Ref 4,5.32022e-08,,,,,,1.1971e-02,4.2050e-03,4.8906e-05,4.6404e-06,6.0609e-08,,,,,,,,,,,
Sam 4,5.28084e-08,1.20176e-02,4.2333e-03,4.9408e-05,4.6987e-06,5.7709e-08,,,,,,            3.9213,            6.7505,           10.2395,           12.8515,          -42.6602,            1.0498,            0.8093,           -0.4668,           -0.6857,          -59.1700,
Ref 5,5.24592e-08,,,,,,1.1971e-02,4.2050e-03,4.8909e-05,4.6378e-06,5.9948e-08,,,,,,,,,,,
Sam 5,5.20625e-08,1.20175e-02,4.2333e-03,4.9414e-05,4.6972e-06,5.8120e-08,,,,,,            3.9083,            6.7455,           10.3304,           12.9545,          -31.3878,            1.0361,            0.8044,           -0.3586,           -0.5742,          -48.0696,
Ref 6,5.17292e-08,,,,,,1.1971e-02,4.2050e-03,4.8909e-05,4.6365e-06,6.0061e-08,,,,,,,,,,,
Sam 6,5.13336e-08,1.20175e-02,4.2333e-03,4.9415e-05,4.7006e-06,5.7988e-08,,,,,,            3.9134,            6.7502,           10.3729,           13.6974,          -30.6884,            1.0414,            0.8090,           -0.3264,            0.1495,          -47.3961,
Ref 7,5.10186e-08,,,,,,1.1971e-02,4.2049e-03,4.8908e-05,4.6377e-06,5.9583e-08,,,,,,,,,,,
Sam 7,5.06151e-08,1.20176e-02,4.2335e-03,4.9412e-05,4.7020e-06,6.0425e-08,,,,,,            3.9227,            6.7812,           10.2207,           13.7350,          -18.3700,            1.0502,            0.8399,           -0.5168,            0.1250,          -35.3579,
Ref 8,5.03128e-08,,,,,,1.1971e-02,4.2050e-03,4.8916e-05,4.6388e-06,6.3557e-08,,,,,,,,,,,
Sam 8,4.99111e-08,1.20175e-02,4.2334e-03,4.9419e-05,4.7003e-06,5.9472e-08,,,,,,            3.9165,            6.7446,           10.2873,           13.0757,          -33.8852,            1.0449,            0.8034,           -0.4088,           -0.4528,          -50.5305,
Ref 9,4.96329e-08,,,,,,1.1971e-02,4.2050e-03,4.8914e-05,4.6404e-06,5.9532e-08,,,,,,,,,,,
Sam 9,4.92259e-08,1.20176e-02,4.2334e-03,4.9420e-05,4.7018e-06,6.0699e-08,,,,,,            3.9220,            6.7403,           10.2656,           13.2062,           14.1051,            1.0509,            0.7991,           -0.4317,           -0.3154,           -3.3644,
Ref 10,4.89498e-08,,,,,,1.1971e-02,4.2051e-03,4.8921e-05,4.6408e-06,6.0183e-08,,,,,,,,,,,
Sam 10,4.85435e-08,1.20175e-02,4.2334e-03,4.9422e-05,4.7000e-06,6.0647e-08,,,,,,            3.9148,            6.7400,           10.2434,           12.7237,           -0.0944,            1.0432,            0.7989,           -0.4459,           -0.7910,          -17.3113,
Ref 11,4.82873e-08,,,,,,1.1971e-02,4.2051e-03,4.8920e-05,4.6412e-06,6.1128e-08,,,,,,,,,,,
Sam 11,4.78797e-08,1.20175e-02,4.2334e-03,4.9425e-05,4.7026e-06,6.1368e-08,,,,,,            3.9217,            6.7334,           10.3296,           13.1755,          -20.5805,            1.0509,            0.7923,           -0.3614,           -0.3321,          -37.4394,
Ref 12,4.76362e-08,,,,,,1.1971e-02,4.2050e-03,4.8919e-05,4.6417e-06,6.4208e-08,,,,,,,,,,,
Sam 12,4.72245e-08,1.20176e-02,4.2335e-03,4.9428e-05,4.7034e-06,6.1860e-08,,,,,,            3.9251,            6.7560,           10.3239,           13.1374,          -47.3776,            1.0537,            0.8148,           -0.3925,           -0.4146,          -63.8199,
Ref 13,4.69973e-08,,,,,,1.1971e-02,4.2051e-03,4.8927e-05,4.6431e-06,6.5674e-08,,,,,,,,,,,
Sam 13,4.65807e-08,1.20175e-02,4.2334e-03,4.9424e-05,4.7043e-06,6.0288e-08,,,,,,            3.9180,            6.7365,           10.1406,           13.1060,          -49.2546,            1.0468,            0.7954,           -0.5475,           -0.4068,          -65.6218,
Ref 14,4.63666e-08,,,,,,1.1971e-02,4.2051e-03,4.8929e-05,4.6437e-06,6.1118e-08,,,,,,,,,,,
Sam 14,4.59477e-08,1.20174e-02,4.2334e-03,4.9433e-05,4.7046e-06,6.3793e-08,,,,,,            3.9164,            6.7372,           10.3614,           12.7564,            9.3719,            1.0451,            0.7961,           -0.3281,           -0.7532,           -8.0043,
Ref 15,4.57475e-08,,,,,,1.1971e-02,4.2051e-03,4.8923e-05,4.6471e-06,6.5311e-08,,,,,,,,,,,
Sam 15,4.53311e-08,1.20175e-02,4.2334e-03,4.9432e-05,4.7052e-06,6.4771e-08,,,,,,            3.9286,            6.7445,           10.3963,           12.9516,          -16.3668,            1.0579,            0.8033,           -0.3133,           -0.5750,          -33.3262,
Ref 16,4.51442e-08,,,,,,1.1970e-02,4.2050e-03,4.8924e-05,4.6429e-06,6.6393e-08,,,,,,,,,,,
Sam 16,4.47225e-08,1.20174e-02,4.2334e-03,4.9430e-05,4.7049e-06,6.7128e-08,,,,,,            3.9236,            6.7450,           10.3058,           13.3916,           12.8156,            1.0525,            0.8038,           -0.3981,           -0.1419,           -4.6426,
Ref 17,4.45486e-08,,,,,,1.1970e-02,4.2050e-03,4.8927e-05,4.6425e-06,6.6161e-08,,,,,,,,,,,
Sam 17,4.41291e-08,1.20174e-02,4.2334e-03,4.9430e-05,4.7066e-06,6.6373e-08,,,,,,            3.9269,            6.7495,           10.2319,           13.1790,          -20.6803,            1.0559,            0.8083,           -0.4791,           -0.3606,          -37.5730,
Ref 18,4.39689e-08,,,,,,1.1970e-02,4.2050e-03,4.8932e-05,4.6483e-06,6.9409e-08,,,,,,,,,,,
Sam 18,4.35430e-08,1.20172e-02,4.2334e-03,4.9429e-05,4.7076e-06,6.6597e-08,,,,,,            3.9145,            6.7515,           10.2056,           12.8485,          -33.2315,            1.0426,            0.8104,           -0.4943,           -0.6907,          -49.8990,
Ref 19,4.33953e-08,,,,,,1.1970e-02,4.2050e-03,4.8928e-05,4.6474e-06,6.8356e-08,,,,,,,,,,,
Sam 19,4.29658e-08,1.20173e-02,4.2333e-03,4.9434e-05,4.7085e-06,6.4894e-08,,,,,,            3.9286,            6.7378,           10.4222,           13.2397,          -44.6398,            1.0580,            0.7967,           -0.2811,           -0.2776,          -61.0994,
Ref 20,4.28309e-08,,,,,,1.1970e-02,4.2050e-03,4.8919e-05,4.6466e-06,6.7491e-08,,,,,,,,,,,
Sam 20,4.23982e-08,1.20170e-02,4.2333e-03,4.9429e-05,4.7080e-06,6.7126e-08,,,,,,            3.9074,            6.7529,           10.2464,           13.3930,          -31.0228,            1.0350,            0.8117,           -0.4480,           -0.1563,          -47.7238,
Ref 21,4.22750e-08,,,,,,1.1970e-02,4.2049e-03,4.8935e-05,4.6449e-06,7.1082e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.20046e-08,,,,,,1.1970e-02,4.2049e-03,4.8938e-05,4.6461e-06,7.1190e-08,
Sam 1,4.15494e-08,1.20170e-02,4.2332e-03,4.9430e-05,4.7096e-06,6.7430e-08,,,,,,            3.9111,            6.7371,           10.0432,           13.4397,          -39.5963,            1.0394,            0.7960,           -0.6375,           -0.0788,          -56.1240,
Ref 2,4.14609e-08,,,,,,1.1970e-02,4.2049e-03,4.8938e-05,4.6482e-06,6.9217e-08,,,,,,,,,,,
Sam 2,4.10029e-08,1.20169e-02,4.2332e-03,4.9435e-05,4.7097e-06,6.8363e-08,,,,,,            3.9040,            6.7373,           10.1773,           13.0183,          -48.4772,            1.0319,            0.7962,           -0.4977,           -0.4950,          -64.8454,
Ref 3,4.09299e-08,,,,,,1.1970e-02,4.2049e-03,4.8937e-05,4.6502e-06,7.4510e-08,,,,,,,,,,,
Sam 3,4.04602e-08,1.20171e-02,4.2333e-03,4.9444e-05,4.7109e-06,7.4279e-08,,,,,,            3.9259,            6.7422,           10.3531,           13.3478,          -19.7479,            1.0551,            0.8011,           -0.3511,           -0.1797,          -36.6420,
Ref 4,4.04079e-08,,,,,,1.1970e-02,4.2050e-03,4.8937e-05,4.6475e-06,7.7057e-08,,,,,,,,,,,
Sam 4,3.99310e-08,1.20170e-02,4.2333e-03,4.9442e-05,4.7141e-06,7.4126e-08,,,,,,            3.9245,            6.7458,           10.2529,           13.7915,          -36.0633,            1.0534,            0.8047,           -0.4523,            0.2510,          -52.6814,
Ref 5,3.98968e-08,,,,,,1.1970e-02,4.2049e-03,4.8943e-05,4.6524e-06,7.6739e-08,,,,,,,,,,,
Sam 5,3.94108e-08,1.20170e-02,4.2332e-03,4.9440e-05,4.7126e-06,7.4845e-08,,,,,,            3.9321,            6.7384,           10.2643,           12.9544,          -33.9538,            1.0618,            0.7973,           -0.4416,           -0.5603,          -50.6023,
Ref 6,3.93897e-08,,,,,,1.1970e-02,4.2049e-03,4.8932e-05,4.6523e-06,7.8222e-08,,,,,,,,,,,
Sam 6,3.88986e-08,1.20168e-02,4.2332e-03,4.9438e-05,4.7091e-06,7.5583e-08,,,,,,            3.9281,            6.7365,           10.2419,           12.4111,          -47.2669,            1.0576,            0.7953,           -0.4577,           -1.0924,          -63.6783,
Ref 7,3.88933e-08,,,,,,1.1970e-02,4.2048e-03,4.8942e-05,4.6506e-06,8.0457e-08,,,,,,,,,,,
Sam 7,3.83933e-08,1.20167e-02,4.2332e-03,4.9441e-05,4.7087e-06,7.9041e-08,,,,,,            3.9129,            6.7450,           10.2171,           12.4479,          -35.8355,            1.0411,            0.8039,           -0.4749,           -1.0731,          -52.4444,
Ref 8,3.84025e-08,,,,,,1.1970e-02,4.2048e-03,4.8940e-05,4.6511e-06,8.3520e-08,,,,,,,,,,,
Sam 8,3.79007e-08,1.20169e-02,4.2333e-03,4.9444e-05,4.7138e-06,8.0838e-08,,,,,,            3.9262,            6.7735,           10.2859,           13.2988,          -11.0870,            1.0542,            0.8322,           -0.4484,           -0.2901,          -28.1899,
Ref 9,3.79212e-08,,,,,,1.1970e-02,4.2048e-03,4.8940e-05,4.6528e-06,7.9945e-08,,,,,,,,,,,
Sam 9,3.74153e-08,1.20167e-02,4.2331e-03,4.9440e-05,4.7140e-06,7.9807e-08,,,,,,            3.9126,            6.7317,           10.1884,           13.1770,           -8.5591,            1.0412,            0.7906,           -0.4900,           -0.3273,          -25.6122,
Ref 10,3.74483e-08,,,,,,1.1970e-02,4.2048e-03,4.8942e-05,4.6525e-06,8.1055e-08,,,,,,,,,,,
Sam 10,3.69400e-08,1.20166e-02,4.2331e-03,4.9443e-05,4.7164e-06,8.2175e-08,,,,,,            3.9095,            6.7299,           10.3339,           13.3930,           36.6907,            1.0380,            0.7888,           -0.3411,           -0.1106,           18.8662,
Ref 11,3.69835e-08,,,,,,1.1970e-02,4.2048e-03,4.8933e-05,4.6556e-06,7.7456e-08,,,,,,,,,,,
Sam 11,3.64723e-08,1.20167e-02,4.2331e-03,4.9447e-05,4.7157e-06,7.8728e-08,,,,,,            3.9169,            6.7439,           10.4424,           13.3862,           14.2717,            1.0454,            0.8028,           -0.2551,           -0.1451,           -3.2025,
Ref 12,3.65321e-08,,,,,,1.1970e-02,4.2047e-03,4.8938e-05,4.6512e-06,7.7787e-08,,,,,,,,,,,
Sam 12,3.60162e-08,1.20166e-02,4.2331e-03,4.9444e-05,4.7158e-06,7.6493e-08,,,,,,            3.9125,            6.7309,           10.3474,           13.0989,          -15.5357,            1.0411,            0.7899,           -0.3319,           -0.4028,          -32.4673,
Ref 13,3.60818e-08,,,,,,1.1970e-02,4.2048e-03,4.8937e-05,4.6584e-06,7.7613e-08,,,,,,,,,,,
Sam 13,3.55653e-08,1.20165e-02,4.2330e-03,4.9450e-05,4.7170e-06,7.8629e-08,,,,,,            3.9121,            6.7263,           10.4350,           13.2471,            6.0762,            1.0408,            0.7853,           -0.2402,           -0.2475,          -11.2177,
Ref 14,3.56458e-08,,,,,,1.1969e-02,4.2047e-03,4.8942e-05,4.6521e-06,7.8703e-08,,,,,,,,,,,
Sam 14,3.51229e-08,1.20164e-02,4.2330e-03,4.9452e-05,4.7177e-06,7.8021e-08,,,,,,            3.9183,            6.7313,           10.3906,           13.7531,          -36.7880,            1.0474,            0.7902,           -0.2954,            0.2420,          -53.3606,
Ref 15,3.52168e-08,,,,,,1.1970e-02,4.2047e-03,4.8945e-05,4.6553e-06,8.3327e-08,,,,,,,,,,,
Sam 15,3.46839e-08,1.20164e-02,4.2331e-03,4.9448e-05,4.7167e-06,8.4628e-08,,,,,,            3.9097,            6.7423,           10.3139,           13.0742,          -11.8395,            1.0377,            0.8012,           -0.3732,           -0.4498,          -28.8534,
Ref 16,3.47913e-08,,,,,,1.1970e-02,4.2047e-03,4.8942e-05,4.6564e-06,8.7985e-08,,,,,,,,,,,
Sam 16,3.42467e-08,1.20163e-02,4.2330e-03,4.9454e-05,4.7160e-06,8.0059e-08,,,,,,            3.9128,            6.7468,           10.4527,           12.6937,          -80.8159,            1.0409,            0.8057,           -0.2435,           -0.8342,          -96.6530,
Ref 17,3.43710e-08,,,,,,1.1969e-02,4.2046e-03,4.8942e-05,4.6574e-06,8.6200e-08,,,,,,,,,,,
Sam 17,3.38212e-08,1.20163e-02,4.2329e-03,4.9445e-05,4.7173e-06,8.2975e-08,,,,,,            3.9252,            6.7284,           10.2032,           13.2479,          -59.2445,            1.0548,            0.7873,           -0.4851,           -0.2507,          -75.4322,
Ref 18,3.39553e-08,,,,,,1.1969e-02,4.2046e-03,4.8949e-05,4.6539e-06,9.0225e-08,,,,,,,,,,,
Sam 18,3.33979e-08,1.20162e-02,4.2329e-03,4.9445e-05,4.7203e-06,8.5654e-08,,,,,,            3.9117,            6.7318,           10.1705,           14.1228,          -47.9859,            1.0403,            0.7908,           -0.5070,            0.6056,          -64.3602,
Ref 19,3.35465e-08,,,,,,1.1969e-02,4.2046e-03,4.8946e-05,4.6552e-06,8.9715e-08,,,,,,,,,,,
Sam 19,3.29850e-08,1.20163e-02,4.2329e-03,4.9446e-05,4.7216e-06,8.5718e-08,,,,,,            3.9206,            6.7386,           10.2316,           13.8943,          -32.2070,            1.0495,            0.7975,           -0.4623,            0.3667,          -48.8743,
Ref 20,3.31474e-08,,,,,,1.1969e-02,4.2046e-03,4.8944e-05,4.6586e-06,8.7413e-08,,,,,,,,,,,
Sam 20,3.25815e-08,1.20161e-02,4.2329e-03,4.9455e-05,4.7132e-06,8.5682e-08,,,,,,            3.9132,            6.7279,           10.3642,           12.2994,          -51.5379,            1.0420,            0.7869,           -0.3131,           -1.1857,          -67.8455,
Ref 21,3.27545e-08,,,,,,1.1969e-02,4.2046e-03,4.8951e-05,4.6531e-06,9.3298e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.25628e-08,,,,,,1.1969e-02,4.2046e-03,4.8952e-05,4.6568e-06,9.1047e-08,
Sam 1,3.19855e-08,1.20161e-02,4.2329e-03,4.9452e-05,4.7178e-06,9.0286e-08,,,,,,            3.9170,            6.7401,           10.2186,           13.2513,          -21.8731,            1.0456,            0.7990,           -0.4728,           -0.2707,          -38.7175,
Ref 2,3.21729e-08,,,,,,1.1969e-02,4.2045e-03,4.8952e-05,4.6553e-06,9.3579e-08,,,,,,,,,,,
Sam 2,3.15918e-08,1.20160e-02,4.2328e-03,4.9448e-05,4.7189e-06,8.5179e-08,,,,,,            3.9192,            6.7331,           10.0565,           13.5584,          -61.7294,            1.0482,            0.7920,           -0.6287,            0.0462,          -77.8770,
Ref 3,3.17924e-08,,,,,,1.1969e-02,4.2045e-03,4.8959e-05,4.6562e-06,8.7955e-08,,,,,,,,,,,
Sam 3,3.12056e-08,1.20159e-02,4.2329e-03,4.9452e-05,4.7201e-06,8.4847e-08,,,,,,            3.9135,            6.7350,           10.1738,           13.9746,          -22.7578,            1.0420,            0.7940,           -0.5086,            0.4531,          -39.5739,
Ref 4,3.14166e-08,,,,,,1.1969e-02,4.2046e-03,4.8950e-05,4.6539e-06,8.5677e-08,,,,,,,,,,,
Sam 4,3.08281e-08,1.20159e-02,4.2329e-03,4.9456e-05,4.7192e-06,8.6901e-08,,,,,,            3.9148,            6.7367,           10.3707,           14.0830,            9.1923,            1.0434,            0.7956,           -0.3169,            0.5566,           -8.1783,
Ref 5,3.10514e-08,,,,,,1.1969e-02,4.2045e-03,4.8946e-05,4.6534e-06,8.6547e-08,,,,,,,,,,,
Sam 5,3.04577e-08,1.20160e-02,4.2328e-03,4.9460e-05,4.7163e-06,8.9555e-08,,,,,,            3.9206,            6.7430,           10.5136,           13.0000,           29.2653,            1.0493,            0.8019,           -0.1876,           -0.5244,           11.5306,
Ref 6,3.06869e-08,,,,,,1.1969e-02,4.2044e-03,4.8946e-05,4.6582e-06,8.7476e-08,,,,,,,,,,,
Sam 6,3.00927e-08,1.20158e-02,4.2327e-03,4.9452e-05,4.7222e-06,8.3243e-08,,,,,,            3.9154,            6.7280,           10.2989,           13.5335,          -50.3459,            1.0444,            0.7869,           -0.3799,            0.0318,          -66.6763,
Ref 7,3.03323e-08,,,,,,1.1969e-02,4.2044e-03,4.8950e-05,4.6602e-06,8.7838e-08,,,,,,,,,,,
Sam 7,2.97321e-08,1.20157e-02,4.2327e-03,4.9452e-05,4.7168e-06,8.3326e-08,,,,,,            3.9121,            6.7212,           10.2314,           12.1606,          -67.2497,            1.0411,            0.7802,           -0.4368,           -1.3094,          -83.2741,
Ref 8,2.99790e-08,,,,,,1.1969e-02,4.2044e-03,4.8953e-05,4.6601e-06,9.0847e-08,,,,,,,,,,,
Sam 8,2.93763e-08,1.20158e-02,4.2328e-03,4.9452e-05,4.7217e-06,8.8998e-08,,,,,,            3.9275,            6.7427,           10.2165,           13.1530,           10.3613,            1.0567,            0.8016,           -0.4883,           -0.3729,           -7.0544,
Ref 9,2.96341e-08,,,,,,1.1969e-02,4.2044e-03,4.8951e-05,4.6607e-06,8.5292e-08,,,,,,,,,,,
Sam 9,2.90290e-08,1.20157e-02,4.2326e-03,4.9452e-05,4.7198e-06,8.1119e-08,,,,,,            3.9193,            6.7096,           10.1718,           12.9800,          -70.1765,            1.0491,            0.7687,           -0.4918,           -0.4778,          -86.1369,
Ref 10,2.92915e-08,,,,,,1.1969e-02,4.2044e-03,4.8956e-05,4.6579e-06,8.9213e-08,,,,,,,,,,,
Sam 10,2.86815e-08,1.20157e-02,4.2327e-03,4.9448e-05,4.7150e-06,8.5587e-08,,,,,,            3.9159,            6.7264,           10.1085,           12.2970,          -23.6287,            1.0449,            0.7853,           -0.5672,           -1.1849,          -40.4160,
Ref 11,2.89559e-08,,,,,,1.1969e-02,4.2044e-03,4.8951e-05,4.6576e-06,8.6085e-08,,,,,,,,,,,
Sam 11,2.83434e-08,1.20156e-02,4.2327e-03,4.9454e-05,4.7247e-06,8.4009e-08,,,,,,            3.9137,            6.7435,           10.3161,           14.5671,          -55.5127,            1.0420,            0.8024,           -0.3763,            1.0208,          -71.7807,
Ref 12,2.86229e-08,,,,,,1.1969e-02,4.2043e-03,4.8948e-05,4.6562e-06,9.1841e-08,,,,,,,,,,,
Sam 12,2.80085e-08,1.20156e-02,4.2326e-03,4.9454e-05,4.7192e-06,8.6660e-08,,,,,,            3.9174,            6.7428,           10.3432,           13.4989,          -25.7143,            1.0459,            0.8017,           -0.3527,           -0.0318,          -42.4981,
Ref 13,2.82958e-08,,,,,,1.1969e-02,4.2043e-03,4.8948e-05,4.6566e-06,8.6020e-08,,,,,,,,,,,
Sam 13,2.76805e-08,1.20155e-02,4.2326e-03,4.9453e-05,4.7167e-06,8.4367e-08,,,,,,            3.9167,            6.7264,           10.2842,           13.0457,          -36.4296,            1.0457,            0.7853,           -0.3942,           -0.4463,          -52.9976,
Ref 14,2.79750e-08,,,,,,1.1969e-02,4.2043e-03,4.8951e-05,4.6554e-06,8.9110e-08,,,,,,,,,,,
Sam 14,2.73587e-08,1.20155e-02,4.2326e-03,4.9462e-05,4.7152e-06,8.1954e-08,,,,,,            3.9195,            6.7451,           10.4936,           12.5053,          -47.5031,            1.0481,            0.8039,           -0.2083,           -1.0165,          -63.9177,
Ref 15,2.76596e-08,,,,,,1.1969e-02,4.2042e-03,4.8945e-05,4.6586e-06,8.2937e-08,,,,,,,,,,,
Sam 15,2.70353e-08,1.20154e-02,4.2325e-03,4.9459e-05,4.7177e-06,8.5170e-08,,,,,,            3.9168,            6.7210,           10.4034,           12.9809,            9.9017,            1.0461,            0.7800,           -0.2712,           -0.4994,           -7.4527,
Ref 16,2.73450e-08,,,,,,1.1968e-02,4.2043e-03,4.8955e-05,4.6559e-06,8.5748e-08,,,,,,,,,,,
Sam 16,2.67223e-08,1.20154e-02,4.2326e-03,4.9456e-05,4.7200e-06,7.4604e-08,,,,,,            3.9260,            6.7423,           10.3227,           13.8344,          -95.5761,            1.0551,            0.8011,           -0.3812,            0.3004,         -111.1635,
Ref 17,2.70395e-08,,,,,,1.1968e-02,4.2042e-03,4.8947e-05,4.6552e-06,7.9191e-08,,,,,,,,,,,
Sam 17,2.64108e-08,1.20153e-02,4.2325e-03,4.9456e-05,4.7192e-06,7.7278e-08,,,,,,            3.9240,            6.7252,           10.3645,           13.7888,          -33.2628,            1.0535,            0.7841,           -0.3211,            0.2894,          -49.8903,
Ref 18,2.67384e-08,,,,,,1.1968e-02,4.2042e-03,4.8951e-05,4.6548e-06,8.0692e-08,,,,,,,,,,,
Sam 18,2.61039e-08,1.20153e-02,4.2325e-03,4.9451e-05,4.7128e-06,7.9783e-08,,,,,,            3.9136,            6.7334,           10.2229,           12.2899,            3.7431,            1.0422,            0.7923,           -0.4586,           -1.2059,          -13.5259,
Ref 19,2.64365e-08,,,,,,1.1968e-02,4.2042e-03,4.8949e-05,4.6565e-06,7.8265e-08,,,,,,,,,,,
Sam 19,2.57984e-08,1.20153e-02,4.2324e-03,4.9455e-05,4.7182e-06,7.5980e-08,,,,,,            3.9159,            6.7287,           10.3040,           13.5477,          -27.9955,            1.0449,            0.7876,           -0.3761,            0.0445,          -44.7120,
Ref 20,2.61430e-08,,,,,,1.1968e-02,4.2041e-03,4.8951e-05,4.6537e-06,7.8070e-08,,,,,,,,,,,
Sam 20,2.55029e-08,1.20150e-02,4.2324e-03,4.9457e-05,4.7145e-06,7.0943e-08,,,,,,            3.9118,            6.7444,           10.4014,           13.0363,          -79.3385,            1.0399,            0.8032,           -0.2908,           -0.4913,          -95.1959,
Ref 21,2.58541e-08,,,,,,1.1968e-02,4.2040e-03,4.8945e-05,4.6539e-06,7.6031e-08,,,,,,,,,,,


