Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 18, 2021 at 19:49 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 18, 2021 at 20:48 with Stable 1.71.5 on PS019

Data File = Data_13669 30-RJS-5166.25E.txt,Sample Weight = 483,                      Vial Location = 22,                       Initial Sam Beam = 9.2606e-08,            ColdFinger Status = CF,                   Min Ref Beam = 4.1967e-08,                Max Ref Beam = 1.0550e-07,                

Analysis undertaken at mass 46.0109
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.25659e-08,,,,,,1.1972e-02,4.2054e-03,4.8927e-05,4.6409e-06,6.3891e-08,
Sam 1,8.08573e-08,1.20379e-02,4.2744e-03,4.9968e-05,4.7929e-06,6.0528e-08,,,,,,            5.4964,           16.3907,           21.3008,           32.5677,          -59.0590,            2.3937,           10.3994,           -0.5716,           -0.4668,          -93.9716,
Ref 2,8.03083e-08,,,,,,1.1972e-02,4.2056e-03,4.8925e-05,4.6426e-06,6.4776e-08,,,,,,,,,,,
Sam 2,7.84582e-08,1.20378e-02,4.2744e-03,4.9967e-05,4.7924e-06,6.3152e-08,,,,,,            5.4850,           16.3775,           21.2669,           32.1916,          -17.2020,            2.3821,           10.3863,           -0.5804,           -0.8050,          -53.6323,
Ref 3,7.80663e-08,,,,,,1.1972e-02,4.2055e-03,4.8927e-05,4.6433e-06,6.3723e-08,,,,,,,,,,,
Sam 3,7.61313e-08,1.20376e-02,4.2742e-03,4.9967e-05,4.7924e-06,6.3569e-08,,,,,,            5.4870,           16.3619,           21.3014,           32.1454,           -5.8342,            2.3847,           10.3708,           -0.5335,           -0.8191,          -42.6590,
Ref 4,7.59089e-08,,,,,,1.1972e-02,4.2053e-03,4.8921e-05,4.6430e-06,6.4168e-08,,,,,,,,,,,
Sam 4,7.39088e-08,1.20373e-02,4.2739e-03,4.9960e-05,4.7930e-06,6.3814e-08,,,,,,            5.4924,           16.3547,           21.2768,           32.3825,           -3.0345,            2.3907,           10.3635,           -0.5561,           -0.5753,          -39.9550,
Ref 5,7.38374e-08,,,,,,1.1971e-02,4.2051e-03,4.8917e-05,4.6424e-06,6.3844e-08,,,,,,,,,,,
Sam 5,7.17751e-08,1.20368e-02,4.2737e-03,4.9955e-05,4.7923e-06,6.3912e-08,,,,,,            5.4826,           16.3527,           21.2504,           32.2175,           -5.5252,            2.3804,           10.3616,           -0.5701,           -0.7311,          -42.3398,
Ref 6,7.18493e-08,,,,,,1.1971e-02,4.2048e-03,4.8913e-05,4.6430e-06,6.4702e-08,,,,,,,,,,,
Sam 6,6.97290e-08,1.20365e-02,4.2735e-03,4.9952e-05,4.7940e-06,6.6303e-08,,,,,,            5.4942,           16.3523,           21.2833,           32.5362,            3.0143,            2.3927,           10.3612,           -0.5494,           -0.4219,          -34.1277,
Ref 7,6.99359e-08,,,,,,1.1971e-02,4.2046e-03,4.8910e-05,4.6428e-06,6.7544e-08,,,,,,,,,,,
Sam 7,6.77609e-08,1.20360e-02,4.2733e-03,4.9954e-05,4.7922e-06,6.4988e-08,,,,,,            5.4843,           16.3462,           21.3910,           32.2072,          -52.1472,            2.3823,           10.3551,           -0.4278,           -0.7283,          -87.2259,
Ref 8,6.80954e-08,,,,,,1.1970e-02,4.2044e-03,4.8906e-05,4.6426e-06,6.9611e-08,,,,,,,,,,,
Sam 8,6.58744e-08,1.20358e-02,4.2731e-03,4.9945e-05,4.7928e-06,6.5677e-08,,,,,,            5.4875,           16.3549,           21.2979,           32.4164,          -43.2447,            2.3855,           10.3638,           -0.5308,           -0.5431,          -78.6718,
Ref 9,6.63204e-08,,,,,,1.1970e-02,4.2043e-03,4.8901e-05,4.6421e-06,6.7653e-08,,,,,,,,,,,
Sam 9,6.40659e-08,1.20355e-02,4.2730e-03,4.9946e-05,4.7925e-06,6.4896e-08,,,,,,            5.4782,           16.3446,           21.4119,           32.4712,          -36.9763,            2.3760,           10.3535,           -0.3996,           -0.4696,          -72.6078,
Ref 10,6.46123e-08,,,,,,1.1970e-02,4.2042e-03,4.8896e-05,4.6414e-06,6.7115e-08,,,,,,,,,,,
Sam 10,6.23248e-08,1.20354e-02,4.2729e-03,4.9943e-05,4.7924e-06,6.8252e-08,,,,,,            5.4946,           16.3632,           21.3908,           32.4369,            0.5016,            2.3928,           10.3721,           -0.4552,           -0.5395,          -36.5682,
Ref 11,6.29595e-08,,,,,,1.1970e-02,4.2041e-03,4.8898e-05,4.6422e-06,6.9351e-08,,,,,,,,,,,
Sam 11,6.06474e-08,1.20353e-02,4.2729e-03,4.9944e-05,4.7923e-06,6.9288e-08,,,,,,            5.4989,           16.3813,           21.4324,           32.5561,          -10.6867,            2.3967,           10.3900,           -0.4363,           -0.4596,          -47.3794,
Ref 12,6.13667e-08,,,,,,1.1969e-02,4.2040e-03,4.8894e-05,4.6402e-06,7.0740e-08,,,,,,,,,,,
Sam 12,5.90356e-08,1.20352e-02,4.2729e-03,4.9949e-05,4.7933e-06,7.3003e-08,,,,,,            5.4942,           16.3747,           21.5691,           33.0391,            1.9315,            2.3919,           10.3834,           -0.2913,            0.0209,          -35.2121,
Ref 13,5.98358e-08,,,,,,1.1969e-02,4.2040e-03,4.8894e-05,4.6399e-06,7.5039e-08,,,,,,,,,,,
Sam 13,5.74768e-08,1.20352e-02,4.2728e-03,4.9949e-05,4.7927e-06,7.4498e-08,,,,,,            5.5077,           16.3670,           21.5205,           32.6684,          -18.3072,            2.4066,           10.3758,           -0.3453,           -0.3229,          -54.7000,
Ref 14,5.83456e-08,,,,,,1.1969e-02,4.2040e-03,4.8899e-05,4.6424e-06,7.6756e-08,,,,,,,,,,,
Sam 14,5.59712e-08,1.20351e-02,4.2728e-03,4.9948e-05,4.7937e-06,7.5566e-08,,,,,,            5.5011,           16.3776,           21.4422,           32.3758,          -13.9896,            2.3991,           10.3863,           -0.4254,           -0.6269,          -50.5552,
Ref 15,5.69095e-08,,,,,,1.1969e-02,4.2040e-03,4.8901e-05,4.6443e-06,7.6516e-08,,,,,,,,,,,
Sam 15,5.45196e-08,1.20350e-02,4.2729e-03,4.9952e-05,4.7949e-06,7.6817e-08,,,,,,            5.5005,           16.3811,           21.5268,           32.4812,           16.8866,            2.3984,           10.3898,           -0.3454,           -0.5317,          -20.8301,
Ref 16,5.55239e-08,,,,,,1.1969e-02,4.2040e-03,4.8898e-05,4.6438e-06,7.4541e-08,,,,,,,,,,,
Sam 16,5.31182e-08,1.20352e-02,4.2729e-03,4.9956e-05,4.7957e-06,7.9119e-08,,,,,,            5.5218,           16.3796,           21.5288,           32.6461,           31.7540,            2.4212,           10.3883,           -0.3639,           -0.3692,           -6.5338,
Ref 17,5.41792e-08,,,,,,1.1969e-02,4.2040e-03,4.8908e-05,4.6445e-06,7.8880e-08,,,,,,,,,,,
Sam 17,5.17609e-08,1.20350e-02,4.2729e-03,4.9957e-05,4.7967e-06,8.1564e-08,,,,,,            5.5027,           16.3794,           21.4114,           32.8216,           11.2740,            2.4009,           10.3881,           -0.4590,           -0.1989,          -26.2337,
Ref 18,5.28754e-08,,,,,,1.1969e-02,4.2040e-03,4.8911e-05,4.6442e-06,8.2472e-08,,,,,,,,,,,
Sam 18,5.04525e-08,1.20350e-02,4.2729e-03,4.9967e-05,4.7977e-06,8.7060e-08,,,,,,            5.4940,           16.3827,           21.5168,           33.0072,           43.2806,            2.3914,           10.3915,           -0.3501,           -0.0257,            4.5887,
Ref 19,5.16170e-08,,,,,,1.1969e-02,4.2041e-03,4.8918e-05,4.6447e-06,8.4448e-08,,,,,,,,,,,
Sam 19,4.91918e-08,1.20350e-02,4.2730e-03,4.9964e-05,4.8004e-06,8.7063e-08,,,,,,            5.5021,           16.3864,           21.3767,           33.2009,            4.8253,            2.3999,           10.3951,           -0.4991,            0.1545,          -32.4557,
Ref 20,5.04009e-08,,,,,,1.1969e-02,4.2041e-03,4.8920e-05,4.6476e-06,8.8895e-08,,,,,,,,,,,
Sam 20,4.79730e-08,1.20351e-02,4.2730e-03,4.9972e-05,4.8009e-06,8.7195e-08,,,,,,            5.5070,           16.3796,           21.5385,           32.9303,          -11.4547,            2.4054,           10.3883,           -0.3391,           -0.0940,          -48.1239,
Ref 21,4.92203e-08,,,,,,1.1969e-02,4.2041e-03,4.8916e-05,4.6481e-06,8.7499e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.86486e-08,,,,,,1.1969e-02,4.2041e-03,4.8921e-05,4.6480e-06,8.7807e-08,
Sam 1,4.62093e-08,1.20348e-02,4.2730e-03,4.9978e-05,4.8026e-06,9.0867e-08,,,,,,            5.4988,           16.3905,           21.6079,           32.9101,           13.1639,            2.3963,           10.3992,           -0.2734,           -0.1351,          -24.4307,
Ref 2,4.75206e-08,,,,,,1.1969e-02,4.2040e-03,4.8921e-05,4.6513e-06,9.1611e-08,,,,,,,,,,,
Sam 2,4.50746e-08,1.20348e-02,4.2729e-03,4.9984e-05,4.8012e-06,9.3921e-08,,,,,,            5.4954,           16.3625,           21.6319,           32.1337,           38.6846,            2.3936,           10.3713,           -0.2193,           -0.8315,            0.2008,
Ref 3,4.64303e-08,,,,,,1.1969e-02,4.2041e-03,4.8930e-05,4.6522e-06,8.9206e-08,,,,,,,,,,,
Sam 3,4.39720e-08,1.20349e-02,4.2730e-03,4.9986e-05,4.8098e-06,9.1229e-08,,,,,,            5.5134,           16.3747,           21.6110,           33.7234,            6.7000,            2.4123,           10.3834,           -0.2700,            0.6833,          -30.6401,
Ref 4,4.53705e-08,,,,,,1.1969e-02,4.2041e-03,4.8927e-05,4.6536e-06,9.2070e-08,,,,,,,,,,,
Sam 4,4.29078e-08,1.20347e-02,4.2729e-03,4.9989e-05,4.8084e-06,9.4725e-08,,,,,,            5.4980,           16.3745,           21.6454,           33.3830,           20.5654,            2.3960,           10.3833,           -0.2204,            0.3542,          -17.2727,
Ref 5,4.43464e-08,,,,,,1.1969e-02,4.2040e-03,4.8933e-05,4.6525e-06,9.3580e-08,,,,,,,,,,,
Sam 5,4.18823e-08,1.20347e-02,4.2729e-03,4.9988e-05,4.8120e-06,9.6378e-08,,,,,,            5.5028,           16.3753,           21.5355,           33.6807,           10.5330,            2.4010,           10.3840,           -0.3336,            0.6408,          -26.9395,
Ref 6,4.33510e-08,,,,,,1.1969e-02,4.2041e-03,4.8936e-05,4.6579e-06,9.7209e-08,,,,,,,,,,,
Sam 6,4.08880e-08,1.20346e-02,4.2728e-03,4.9988e-05,4.8100e-06,9.8617e-08,,,,,,            5.4969,           16.3455,           21.4175,           32.5740,            4.7884,            2.3958,           10.3545,           -0.4143,           -0.3720,          -32.4093,
Ref 7,4.23784e-08,,,,,,1.1969e-02,4.2041e-03,4.8944e-05,4.6586e-06,9.9107e-08,,,,,,,,,,,
Sam 7,3.99199e-08,1.20345e-02,4.2728e-03,4.9998e-05,4.8112e-06,9.8953e-08,,,,,,            5.4955,           16.3555,           21.5307,           32.5552,            3.8777,            2.3939,           10.3643,           -0.3117,           -0.4098,          -33.3035,
Ref 8,4.14463e-08,,,,,,1.1969e-02,4.2041e-03,4.8945e-05,4.6603e-06,9.8022e-08,,,,,,,,,,,
Sam 8,3.89869e-08,1.20343e-02,4.2728e-03,4.9994e-05,4.8126e-06,1.0045e-07,,,,,,            5.4864,           16.3644,           21.4469,           32.4200,           23.9626,            2.3840,           10.3732,           -0.3930,           -0.5582,          -13.9700,
Ref 9,4.05377e-08,,,,,,1.1969e-02,4.2040e-03,4.8942e-05,4.6626e-06,9.8177e-08,,,,,,,,,,,
Sam 9,3.80820e-08,1.20343e-02,4.2728e-03,4.9997e-05,4.8142e-06,9.8136e-08,,,,,,            5.4964,           16.3670,           21.4933,           32.2116,          -39.0376,            2.3945,           10.3758,           -0.3603,           -0.7649,          -74.6507,
Ref 10,3.96569e-08,,,,,,1.1968e-02,4.2040e-03,4.8947e-05,4.6653e-06,1.0616e-07,,,,,,,,,,,
Sam 10,3.72052e-08,1.20342e-02,4.2727e-03,5.0002e-05,4.8161e-06,1.1094e-07,,,,,,            5.5004,           16.3413,           21.5599,           32.6273,           43.8037,            2.3996,           10.3502,           -0.2743,           -0.3120,            5.1662,
Ref 11,3.87953e-08,,,,,,1.1968e-02,4.2039e-03,4.8947e-05,4.6625e-06,1.0642e-07,,,,,,,,,,,
Sam 11,3.63548e-08,1.20339e-02,4.2727e-03,5.0000e-05,4.8183e-06,1.1106e-07,,,,,,            5.4787,           16.3586,           21.4577,           33.5333,           33.6833,            2.3760,           10.3675,           -0.3689,            0.5310,           -4.5901,
Ref 12,3.79628e-08,,,,,,1.1968e-02,4.2039e-03,4.8952e-05,4.6615e-06,1.0848e-07,,,,,,,,,,,
Sam 12,3.55340e-08,1.20340e-02,4.2726e-03,5.0007e-05,4.8163e-06,1.1302e-07,,,,,,            5.4828,           16.3432,           21.4866,           33.1126,           25.4448,            2.3809,           10.3522,           -0.3299,            0.1540,          -12.4984,
Ref 13,3.71574e-08,,,,,,1.1968e-02,4.2039e-03,4.8957e-05,4.6625e-06,1.1198e-07,,,,,,,,,,,
Sam 13,3.47326e-08,1.20340e-02,4.2726e-03,5.0011e-05,4.8189e-06,1.1428e-07,,,,,,            5.4937,           16.3427,           21.5072,           32.7273,           29.3284,            2.3925,           10.3517,           -0.3204,           -0.2180,           -8.7690,
Ref 14,3.63711e-08,,,,,,1.1968e-02,4.2039e-03,4.8959e-05,4.6699e-06,1.1005e-07,,,,,,,,,,,
Sam 14,3.39592e-08,1.20339e-02,4.2726e-03,5.0008e-05,4.8223e-06,1.1718e-07,,,,,,            5.4990,           16.3379,           21.4815,           32.8538,           35.7040,            2.3983,           10.3468,           -0.3464,           -0.0861,           -2.6257,
Ref 15,3.56113e-08,,,,,,1.1968e-02,4.2039e-03,4.8954e-05,4.6680e-06,1.1631e-07,,,,,,,,,,,
Sam 15,3.32067e-08,1.20336e-02,4.2725e-03,5.0009e-05,4.8236e-06,1.2108e-07,,,,,,            5.4803,           16.3254,           21.5113,           33.2420,           17.4823,            2.3788,           10.3344,           -0.2858,            0.3144,          -20.1299,
Ref 16,3.48693e-08,,,,,,1.1968e-02,4.2038e-03,4.8957e-05,4.6690e-06,1.2176e-07,,,,,,,,,,,
Sam 16,3.24731e-08,1.20336e-02,4.2725e-03,5.0010e-05,4.8276e-06,1.2587e-07,,,,,,            5.4844,           16.3408,           21.5162,           33.7840,           31.2785,            2.3827,           10.3497,           -0.3003,            0.8088,           -6.8776,
Ref 17,3.41461e-08,,,,,,1.1968e-02,4.2037e-03,4.8955e-05,4.6707e-06,1.2235e-07,,,,,,,,,,,
Sam 17,3.17546e-08,1.20336e-02,4.2725e-03,5.0017e-05,4.8263e-06,1.2623e-07,,,,,,            5.4900,           16.3562,           21.6243,           32.8901,           25.2140,            2.3881,           10.3651,           -0.2152,           -0.0869,          -12.7531,
Ref 18,3.34435e-08,,,,,,1.1968e-02,4.2037e-03,4.8962e-05,4.6745e-06,1.2392e-07,,,,,,,,,,,
Sam 18,3.10613e-08,1.20332e-02,4.2723e-03,5.0019e-05,4.8276e-06,1.3309e-07,,,,,,            5.4744,           16.3250,           21.6169,           32.7431,           48.9268,            2.3725,           10.3341,           -0.1762,           -0.1679,           10.1592,
Ref 19,3.27614e-08,,,,,,1.1968e-02,4.2037e-03,4.8959e-05,4.6745e-06,1.2991e-07,,,,,,,,,,,
Sam 19,3.03834e-08,1.20331e-02,4.2723e-03,5.0017e-05,4.8306e-06,1.3448e-07,,,,,,            5.4796,           16.3314,           21.5837,           33.2139,            9.4087,            2.3779,           10.3404,           -0.2202,            0.2754,          -27.9156,
Ref 20,3.20965e-08,,,,,,1.1968e-02,4.2036e-03,4.8962e-05,4.6761e-06,1.3661e-07,,,,,,,,,,,
Sam 20,2.97244e-08,1.20333e-02,4.2723e-03,5.0026e-05,4.8338e-06,1.3542e-07,,,,,,            5.4990,           16.3229,           21.7143,           33.5379,            7.9717,            2.3989,           10.3319,           -0.1041,            0.6058,          -29.3036,
Ref 21,3.14425e-08,,,,,,1.1967e-02,4.2036e-03,4.8962e-05,4.6778e-06,1.3204e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.11263e-08,,,,,,1.1967e-02,4.2035e-03,4.8966e-05,4.6813e-06,1.3886e-07,
Sam 1,2.87668e-08,1.20330e-02,4.2722e-03,5.0017e-05,4.8337e-06,1.4655e-07,,,,,,            5.4818,           16.3245,           21.4110,           32.7523,           26.2533,            2.3804,           10.3336,           -0.3849,           -0.1580,          -11.6831,
Ref 2,3.04998e-08,,,,,,1.1967e-02,4.2035e-03,4.8971e-05,4.6795e-06,1.4682e-07,,,,,,,,,,,
Sam 2,2.81518e-08,1.20330e-02,4.2722e-03,5.0022e-05,4.8380e-06,1.5389e-07,,,,,,            5.4898,           16.3294,           21.4058,           33.6157,           39.7709,            2.3888,           10.3384,           -0.4028,            0.6682,            1.3169,
Ref 3,2.98927e-08,,,,,,1.1967e-02,4.2035e-03,4.8977e-05,4.6818e-06,1.4921e-07,,,,,,,,,,,
Sam 3,2.75591e-08,1.20329e-02,4.2721e-03,5.0029e-05,4.8384e-06,1.5801e-07,,,,,,            5.4942,           16.3234,           21.4551,           33.1653,           43.7908,            2.3937,           10.3324,           -0.3533,            0.2441,            5.1951,
Ref 4,2.93012e-08,,,,,,1.1967e-02,4.2035e-03,4.8981e-05,4.6843e-06,1.5358e-07,,,,,,,,,,,
Sam 4,2.69791e-08,1.20328e-02,4.2720e-03,5.0025e-05,4.8386e-06,1.5971e-07,,,,,,            5.4846,           16.3100,           21.3178,           32.8044,           25.4256,            2.3839,           10.3191,           -0.4648,           -0.0790,          -12.4554,
Ref 5,2.87222e-08,,,,,,1.1967e-02,4.2034e-03,4.8980e-05,4.6855e-06,1.5796e-07,,,,,,,,,,,
Sam 5,2.64152e-08,1.20326e-02,4.2719e-03,5.0034e-05,4.8452e-06,1.6253e-07,,,,,,            5.4693,           16.3014,           21.4171,           33.8987,           48.1374,            2.3679,           10.3106,           -0.3437,            0.9973,            9.4505,
Ref 6,2.81584e-08,,,,,,1.1967e-02,4.2034e-03,4.8989e-05,4.6871e-06,1.5211e-07,,,,,,,,,,,
Sam 6,2.58636e-08,1.20325e-02,4.2719e-03,5.0039e-05,4.8433e-06,1.5971e-07,,,,,,            5.4724,           16.3050,           21.5115,           32.6890,           44.7982,            2.3711,           10.3142,           -0.2580,           -0.1809,            6.2242,
Ref 7,2.76113e-08,,,,,,1.1967e-02,4.2034e-03,4.8981e-05,4.6930e-06,1.5363e-07,,,,,,,,,,,
Sam 7,2.53291e-08,1.20324e-02,4.2718e-03,5.0025e-05,4.8453e-06,1.6659e-07,,,,,,            5.4752,           16.3019,           21.2837,           32.8452,           54.4959,            2.3742,           10.3111,           -0.4807,           -0.0236,           15.5671,
Ref 8,2.70765e-08,,,,,,1.1967e-02,4.2033e-03,4.8984e-05,4.6895e-06,1.6241e-07,,,,,,,,,,,
Sam 8,2.48093e-08,1.20322e-02,4.2718e-03,5.0028e-05,4.8488e-06,1.6807e-07,,,,,,            5.4777,           16.3028,           21.2583,           33.9372,           39.8939,            2.3768,           10.3120,           -0.5090,            1.0319,            1.4997,
Ref 9,2.65551e-08,,,,,,1.1967e-02,4.2032e-03,4.8989e-05,4.6898e-06,1.6083e-07,,,,,,,,,,,
Sam 9,2.43017e-08,1.20320e-02,4.2716e-03,5.0044e-05,4.8502e-06,1.7617e-07,,,,,,            5.4674,           16.2915,           21.5556,           33.8265,           67.6372,            2.3663,           10.3007,           -0.1966,            0.9470,           28.2523,
Ref 10,2.60498e-08,,,,,,1.1966e-02,4.2031e-03,4.8986e-05,4.6932e-06,1.6927e-07,,,,,,,,,,,
Sam 10,2.38094e-08,1.20319e-02,4.2716e-03,5.0038e-05,4.8546e-06,1.7644e-07,,,,,,            5.4726,           16.3013,           21.3884,           33.8007,           41.2513,            2.3715,           10.3105,           -0.3750,            0.9026,            2.8152,
Ref 11,2.55532e-08,,,,,,1.1966e-02,4.2031e-03,4.8994e-05,4.6986e-06,1.6963e-07,,,,,,,,,,,
Sam 11,2.33290e-08,1.20319e-02,4.2715e-03,5.0040e-05,4.8538e-06,1.7914e-07,,,,,,            5.4781,           16.2862,           21.3934,           33.4109,           36.7561,            2.3779,           10.2954,           -0.3611,            0.5551,           -1.4906,
Ref 12,2.50696e-08,,,,,,1.1966e-02,4.2030e-03,4.8989e-05,4.6951e-06,1.7600e-07,,,,,,,,,,,
Sam 12,2.28601e-08,1.20317e-02,4.2715e-03,5.0040e-05,4.8542e-06,1.8929e-07,,,,,,            5.4753,           16.2933,           21.3962,           33.7780,           38.3546,            2.3746,           10.3025,           -0.3625,            0.8964,            0.0381,
Ref 13,2.46014e-08,,,,,,1.1966e-02,4.2031e-03,4.8995e-05,4.6961e-06,1.8871e-07,,,,,,,,,,,
Sam 13,2.24066e-08,1.20316e-02,4.2715e-03,5.0048e-05,4.8626e-06,1.9202e-07,,,,,,            5.4764,           16.2902,           21.4478,           35.1412,           28.3893,            2.3759,           10.2994,           -0.3100,            2.2224,           -9.5546,
Ref 14,2.41433e-08,,,,,,1.1966e-02,4.2029e-03,4.9000e-05,4.6990e-06,1.8470e-07,,,,,,,,,,,
Sam 14,2.19608e-08,1.20314e-02,4.2714e-03,5.0048e-05,4.8599e-06,1.9530e-07,,,,,,            5.4673,           16.3097,           21.3858,           33.6796,           30.7340,            2.3655,           10.3189,           -0.3803,            0.7688,           -7.3244,
Ref 15,2.36924e-08,,,,,,1.1966e-02,4.2028e-03,4.9001e-05,4.7041e-06,1.9434e-07,,,,,,,,,,,
Sam 15,2.15286e-08,1.20314e-02,4.2712e-03,5.0046e-05,4.8570e-06,2.0405e-07,,,,,,            5.4821,           16.2762,           21.3203,           32.1545,           49.3428,            2.3824,           10.2855,           -0.4271,           -0.6417,           10.6471,
Ref 16,2.32549e-08,,,,,,1.1966e-02,4.2028e-03,4.9002e-05,4.7072e-06,1.9458e-07,,,,,,,,,,,
Sam 16,2.11037e-08,1.20313e-02,4.2712e-03,5.0053e-05,4.8607e-06,2.1208e-07,,,,,,            5.4788,           16.2757,           21.5375,           32.3196,           73.7231,            2.3789,           10.2850,           -0.2106,           -0.4809,           34.1329,
Ref 17,2.28292e-08,,,,,,1.1966e-02,4.2028e-03,4.8993e-05,4.7098e-06,2.0052e-07,,,,,,,,,,,
Sam 17,2.06912e-08,1.20312e-02,4.2712e-03,5.0051e-05,4.8705e-06,2.0997e-07,,,,,,            5.4673,           16.2734,           21.4555,           33.9668,           34.8926,            2.3667,           10.2827,           -0.2768,            1.1186,           -3.2491,
Ref 18,2.24121e-08,,,,,,1.1966e-02,4.2027e-03,4.9007e-05,4.7112e-06,2.0530e-07,,,,,,,,,,,
Sam 18,2.02867e-08,1.20311e-02,4.2712e-03,5.0060e-05,4.8688e-06,2.1352e-07,,,,,,            5.4715,           16.2966,           21.4568,           33.2708,           40.3287,            2.3704,           10.3058,           -0.3024,            0.3989,            1.9370,
Ref 19,2.20061e-08,,,,,,1.1966e-02,4.2026e-03,4.9010e-05,4.7129e-06,2.0518e-07,,,,,,,,,,,
Sam 19,1.98953e-08,1.20311e-02,4.2711e-03,5.0062e-05,4.8702e-06,2.1850e-07,,,,,,            5.4774,           16.2900,           21.5041,           33.6494,           56.4078,            2.3770,           10.2993,           -0.2558,            0.7784,           17.4293,
Ref 20,2.16077e-08,,,,,,1.1965e-02,4.2026e-03,4.9007e-05,4.7104e-06,2.0852e-07,,,,,,,,,,,
Sam 20,1.95093e-08,1.20308e-02,4.2709e-03,5.0057e-05,4.8801e-06,2.2740e-07,,,,,,            5.4631,           16.2563,           21.3698,           34.5394,           51.3243,            2.3629,           10.2657,           -0.3400,            1.7065,           12.6148,
Ref 21,2.12190e-08,,,,,,1.1965e-02,4.2026e-03,4.9012e-05,4.7241e-06,2.2422e-07,,,,,,,,,,,


