Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 11, 2021 at 08:43 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 11, 2021 at 09:42 with Stable 1.71.5 on PS019

Data File = Data_13601 ETH-3.txt,         Sample Weight = 476,                      Vial Location = 49,                       Initial Sam Beam = 1.7156e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.2908e-08,                Max Ref Beam = 1.0571e-07,                

Analysis undertaken at mass 46.0109
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.77806e-08,,,,,,1.1971e-02,4.2045e-03,4.8875e-05,4.6367e-06,6.0571e-08,
Sam 1,6.73367e-08,1.20250e-02,4.2548e-03,4.9668e-05,4.7494e-06,6.4359e-08,,,,,,            4.5420,           11.9683,           16.2766,           23.9401,           65.9060,            1.5303,            6.0005,           -0.2334,           -0.1364,           36.2438,
Ref 2,6.68398e-08,,,,,,1.1971e-02,4.2045e-03,4.8870e-05,4.6400e-06,6.0185e-08,,,,,,,,,,,
Sam 2,6.63187e-08,1.20251e-02,4.2548e-03,4.9667e-05,4.7510e-06,6.1464e-08,,,,,,            4.5589,           11.9845,           16.3250,           23.8625,           13.8909,            1.5477,            6.0166,           -0.2189,           -0.2443,          -14.3725,
Ref 3,6.58378e-08,,,,,,1.1970e-02,4.2044e-03,4.8868e-05,4.6405e-06,6.1066e-08,,,,,,,,,,,
Sam 3,6.53198e-08,1.20250e-02,4.2548e-03,4.9664e-05,4.7514e-06,6.1318e-08,,,,,,            4.5598,           11.9810,           16.2313,           23.7968,            4.2993,            1.5488,            6.0130,           -0.3085,           -0.3014,          -23.6909,
Ref 4,6.48452e-08,,,,,,1.1970e-02,4.2044e-03,4.8874e-05,4.6414e-06,6.1044e-08,,,,,,,,,,,
Sam 4,6.43270e-08,1.20248e-02,4.2547e-03,4.9668e-05,4.7511e-06,6.3445e-08,,,,,,            4.5522,           11.9677,           16.2551,           23.8560,           47.6767,            1.5412,            5.9999,           -0.2645,           -0.2174,           18.5119,
Ref 5,6.38748e-08,,,,,,1.1970e-02,4.2043e-03,4.8872e-05,4.6394e-06,6.0065e-08,,,,,,,,,,,
Sam 5,6.33729e-08,1.20248e-02,4.2547e-03,4.9668e-05,4.7505e-06,5.8317e-08,,,,,,            4.5581,           11.9838,           16.3106,           24.0908,          -39.6232,            1.5469,            6.0159,           -0.2315,           -0.0200,          -66.3928,
Ref 6,6.29257e-08,,,,,,1.1970e-02,4.2043e-03,4.8870e-05,4.6382e-06,6.1391e-08,,,,,,,,,,,
Sam 6,6.24281e-08,1.20248e-02,4.2546e-03,4.9666e-05,4.7486e-06,6.2204e-08,,,,,,            4.5689,           11.9825,           16.2961,           23.5848,           37.3505,            1.5585,            6.0145,           -0.2556,           -0.5113,            8.4265,
Ref 7,6.19928e-08,,,,,,1.1970e-02,4.2042e-03,4.8870e-05,4.6402e-06,5.8516e-08,,,,,,,,,,,
Sam 7,6.14992e-08,1.20247e-02,4.2547e-03,4.9663e-05,4.7472e-06,5.8378e-08,,,,,,            4.5631,           11.9920,           16.2565,           23.1574,           -9.7394,            1.5519,            6.0240,           -0.2978,           -0.9474,          -37.3622,
Ref 8,6.10817e-08,,,,,,1.1970e-02,4.2042e-03,4.8868e-05,4.6393e-06,5.9395e-08,,,,,,,,,,,
Sam 8,6.05974e-08,1.20245e-02,4.2545e-03,4.9665e-05,4.7501e-06,6.2411e-08,,,,,,            4.5563,           11.9713,           16.2850,           23.9889,           51.4745,            1.5455,            6.0035,           -0.2428,           -0.0948,           22.1924,
Ref 9,6.01938e-08,,,,,,1.1970e-02,4.2042e-03,4.8870e-05,4.6384e-06,5.9315e-08,,,,,,,,,,,
Sam 9,5.97125e-08,1.20245e-02,4.2545e-03,4.9664e-05,4.7466e-06,5.8984e-08,,,,,,            4.5571,           11.9564,           16.3053,           23.3031,           13.0635,            1.5468,            5.9886,           -0.2090,           -0.7349,          -15.1210,
Ref 10,5.92924e-08,,,,,,1.1970e-02,4.2043e-03,4.8865e-05,4.6386e-06,5.7116e-08,,,,,,,,,,,
Sam 10,5.88402e-08,1.20244e-02,4.2546e-03,4.9662e-05,4.7486e-06,5.8777e-08,,,,,,            4.5564,           11.9780,           16.3075,           23.6439,           -1.5761,            1.5453,            6.0101,           -0.2273,           -0.4449,          -29.3935,
Ref 11,5.84636e-08,,,,,,1.1970e-02,4.2042e-03,4.8866e-05,4.6392e-06,6.0648e-08,,,,,,,,,,,
Sam 11,5.79947e-08,1.20244e-02,4.2546e-03,4.9661e-05,4.7464e-06,5.8434e-08,,,,,,            4.5592,           11.9908,           16.2404,           23.4137,          -15.0889,            1.5478,            6.0228,           -0.3085,           -0.6948,          -42.5563,
Ref 12,5.76231e-08,,,,,,1.1970e-02,4.2042e-03,4.8868e-05,4.6364e-06,5.7992e-08,,,,,,,,,,,
Sam 12,5.71553e-08,1.20245e-02,4.2545e-03,4.9661e-05,4.7488e-06,5.5789e-08,,,,,,            4.5613,           11.9628,           16.2406,           24.2208,          -27.3383,            1.5510,            5.9949,           -0.2831,            0.1487,          -54.4147,
Ref 13,5.67986e-08,,,,,,1.1970e-02,4.2043e-03,4.8866e-05,4.6365e-06,5.6712e-08,,,,,,,,,,,
Sam 13,5.63382e-08,1.20243e-02,4.2546e-03,4.9660e-05,4.7475e-06,5.4989e-08,,,,,,            4.5491,           11.9609,           16.2186,           23.9120,          -24.6949,            1.5381,            5.9931,           -0.2905,           -0.1492,          -51.8292,
Ref 14,5.59813e-08,,,,,,1.1970e-02,4.2043e-03,4.8869e-05,4.6367e-06,5.6045e-08,,,,,,,,,,,
Sam 14,5.55261e-08,1.20243e-02,4.2546e-03,4.9664e-05,4.7470e-06,5.6720e-08,,,,,,            4.5591,           11.9873,           16.2863,           23.8113,            8.4945,            1.5478,            6.0194,           -0.2598,           -0.2998,          -19.6240,
Ref 15,5.51972e-08,,,,,,1.1970e-02,4.2042e-03,4.8867e-05,4.6365e-06,5.6443e-08,,,,,,,,,,,
Sam 15,5.47447e-08,1.20243e-02,4.2546e-03,4.9667e-05,4.7447e-06,5.5675e-08,,,,,,            4.5575,           11.9775,           16.3374,           23.4692,           -0.9200,            1.5465,            6.0096,           -0.1985,           -0.6145,          -28.7558,
Ref 16,5.44190e-08,,,,,,1.1970e-02,4.2043e-03,4.8870e-05,4.6354e-06,5.4999e-08,,,,,,,,,,,
Sam 16,5.39699e-08,1.20243e-02,4.2546e-03,4.9668e-05,4.7454e-06,5.2760e-08,,,,,,            4.5532,           11.9624,           16.3032,           23.9073,          -37.4987,            1.5425,            5.9946,           -0.2130,           -0.1568,          -64.2837,
Ref 17,5.36551e-08,,,,,,1.1970e-02,4.2043e-03,4.8873e-05,4.6337e-06,5.4629e-08,,,,,,,,,,,
Sam 17,5.32116e-08,1.20243e-02,4.2547e-03,4.9674e-05,4.7464e-06,5.4113e-08,,,,,,            4.5596,           11.9764,           16.3469,           23.9808,           10.6427,            1.5487,            6.0085,           -0.1901,           -0.1126,          -17.5153,
Ref 18,5.29120e-08,,,,,,1.1970e-02,4.2043e-03,4.8876e-05,4.6367e-06,5.2442e-08,,,,,,,,,,,
Sam 18,5.24645e-08,1.20243e-02,4.2547e-03,4.9668e-05,4.7478e-06,5.2655e-08,,,,,,            4.5649,           11.9805,           16.1801,           24.0455,           30.0830,            1.5542,            6.0126,           -0.3637,           -0.0577,            1.3697,
Ref 19,5.21791e-08,,,,,,1.1970e-02,4.2043e-03,4.8878e-05,4.6358e-06,4.9773e-08,,,,,,,,,,,
Sam 19,5.17355e-08,1.20243e-02,4.2546e-03,4.9671e-05,4.7451e-06,5.1247e-08,,,,,,            4.5592,           11.9640,           16.2547,           23.4415,           22.9959,            1.5488,            5.9961,           -0.2684,           -0.6147,           -5.4818,
Ref 20,5.14583e-08,,,,,,1.1970e-02,4.2044e-03,4.8875e-05,4.6370e-06,5.0421e-08,,,,,,,,,,,
Sam 20,5.10103e-08,1.20243e-02,4.2547e-03,4.9672e-05,4.7469e-06,4.8393e-08,,,,,,            4.5567,           11.9690,           16.2629,           23.9166,          -22.2944,            1.5459,            6.0012,           -0.2626,           -0.1608,          -49.5182,
Ref 21,5.07519e-08,,,,,,1.1970e-02,4.2043e-03,4.8879e-05,4.6351e-06,4.8558e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.04067e-08,,,,,,1.1970e-02,4.2043e-03,4.8872e-05,4.6352e-06,4.6975e-08,
Sam 1,4.99455e-08,1.20243e-02,4.2547e-03,4.9674e-05,4.7470e-06,4.8368e-08,,,,,,            4.5561,           11.9694,           16.3344,           23.8716,            4.7300,            1.5452,            6.0016,           -0.1921,           -0.2055,          -23.2464,
Ref 2,4.97114e-08,,,,,,1.1970e-02,4.2044e-03,4.8879e-05,4.6374e-06,4.9323e-08,,,,,,,,,,,
Sam 2,4.92452e-08,1.20242e-02,4.2547e-03,4.9675e-05,4.7489e-06,4.7556e-08,,,,,,            4.5532,           11.9623,           16.2553,           24.2063,          -10.9614,            1.5424,            5.9945,           -0.2600,            0.1353,          -38.4847,
Ref 3,4.90382e-08,,,,,,1.1970e-02,4.2044e-03,4.8882e-05,4.6360e-06,4.6827e-08,,,,,,,,,,,
Sam 3,4.85671e-08,1.20242e-02,4.2547e-03,4.9677e-05,4.7445e-06,4.7985e-08,,,,,,            4.5544,           11.9790,           16.2837,           23.2297,           32.7165,            1.5431,            6.0111,           -0.2494,           -0.8512,            3.9439,
Ref 4,4.83760e-08,,,,,,1.1970e-02,4.2044e-03,4.8879e-05,4.6376e-06,4.6097e-08,,,,,,,,,,,
Sam 4,4.78984e-08,1.20242e-02,4.2547e-03,4.9678e-05,4.7441e-06,4.5205e-08,,,,,,            4.5517,           11.9633,           16.2812,           23.0298,          -12.9305,            1.5408,            5.9955,           -0.2340,           -1.0155,          -40.3993,
Ref 5,4.77204e-08,,,,,,1.1970e-02,4.2044e-03,4.8884e-05,4.6369e-06,4.5494e-08,,,,,,,,,,,
Sam 5,4.72405e-08,1.20243e-02,4.2548e-03,4.9680e-05,4.7431e-06,4.5540e-08,,,,,,            4.5613,           11.9732,           16.2571,           23.2579,          -29.4001,            1.5507,            6.0053,           -0.2771,           -0.8122,          -56.4382,
Ref 6,4.70776e-08,,,,,,1.1970e-02,4.2045e-03,4.8886e-05,4.6336e-06,4.8364e-08,,,,,,,,,,,
Sam 6,4.65941e-08,1.20242e-02,4.2547e-03,4.9677e-05,4.7448e-06,4.2867e-08,,,,,,            4.5542,           11.9477,           16.1752,           24.2745,          -73.6417,            1.5440,            5.9800,           -0.3256,            0.2308,          -99.3960,
Ref 7,4.64470e-08,,,,,,1.1970e-02,4.2045e-03,4.8887e-05,4.6310e-06,4.4158e-08,,,,,,,,,,,
Sam 7,4.59618e-08,1.20242e-02,4.2548e-03,4.9682e-05,4.7452e-06,4.5060e-08,,,,,,            4.5623,           11.9776,           16.2545,           24.0877,           27.5162,            1.5516,            6.0097,           -0.2850,           -0.0108,           -1.1173,
Ref 8,4.58285e-08,,,,,,1.1970e-02,4.2044e-03,4.8888e-05,4.6362e-06,4.3544e-08,,,,,,,,,,,
Sam 8,4.53435e-08,1.20241e-02,4.2548e-03,4.9678e-05,4.7445e-06,4.1959e-08,,,,,,            4.5534,           11.9772,           16.1377,           23.7631,          -23.2096,            1.5421,            6.0093,           -0.3903,           -0.3267,          -50.4196,
Ref 9,4.52222e-08,,,,,,1.1970e-02,4.2044e-03,4.8890e-05,4.6325e-06,4.2360e-08,,,,,,,,,,,
Sam 9,4.47295e-08,1.20243e-02,4.2548e-03,4.9685e-05,4.7451e-06,3.9021e-08,,,,,,            4.5600,           11.9674,           16.2451,           24.0072,          -44.8825,            1.5495,            5.9995,           -0.2820,           -0.0691,          -71.4776,
Ref 10,4.46246e-08,,,,,,1.1970e-02,4.2045e-03,4.8891e-05,4.6351e-06,3.9329e-08,,,,,,,,,,,
Sam 10,4.41381e-08,1.20242e-02,4.2548e-03,4.9690e-05,4.7434e-06,3.8868e-08,,,,,,            4.5554,           11.9633,           16.3517,           23.2437,          -12.5086,            1.5447,            5.9955,           -0.1684,           -0.8066,          -39.9929,
Ref 11,4.40421e-08,,,,,,1.1970e-02,4.2045e-03,4.8890e-05,4.6362e-06,3.9391e-08,,,,,,,,,,,
Sam 11,4.35489e-08,1.20242e-02,4.2549e-03,4.9684e-05,4.7455e-06,3.6055e-08,,,,,,            4.5631,           11.9849,           16.2139,           23.5419,          -98.1105,            1.5521,            6.0170,           -0.3328,           -0.5581,         -123.2562,
Ref 12,4.34655e-08,,,,,,1.1970e-02,4.2045e-03,4.8893e-05,4.6366e-06,4.0572e-08,,,,,,,,,,,
Sam 12,4.29784e-08,1.20241e-02,4.2547e-03,4.9688e-05,4.7445e-06,3.8423e-08,,,,,,            4.5539,           11.9553,           16.3037,           23.5778,           -2.7802,            1.5434,            5.9875,           -0.2062,           -0.4644,          -30.5186,
Ref 13,4.29070e-08,,,,,,1.1970e-02,4.2045e-03,4.8889e-05,4.6339e-06,3.6461e-08,,,,,,,,,,,
Sam 13,4.24146e-08,1.20242e-02,4.2548e-03,4.9681e-05,4.7462e-06,3.1552e-08,,,,,,            4.5623,           11.9799,           16.1286,           24.5947,          -82.5981,            1.5515,            6.0120,           -0.4111,            0.4797,         -108.1670,
Ref 14,4.23554e-08,,,,,,1.1970e-02,4.2045e-03,4.8897e-05,4.6307e-06,3.2296e-08,,,,,,,,,,,
Sam 14,4.18608e-08,1.20240e-02,4.2548e-03,4.9683e-05,4.7426e-06,3.2199e-08,,,,,,            4.5521,           11.9791,           16.1325,           24.1027,          -31.3122,            1.5406,            6.0113,           -0.3960,            0.0009,          -58.2988,
Ref 15,4.18164e-08,,,,,,1.1970e-02,4.2044e-03,4.8892e-05,4.6312e-06,3.4196e-08,,,,,,,,,,,
Sam 15,4.13150e-08,1.20240e-02,4.2548e-03,4.9686e-05,4.7419e-06,3.3811e-08,,,,,,            4.5554,           11.9666,           16.1906,           23.9523,           61.0730,            1.5446,            5.9988,           -0.3300,           -0.1212,           31.5341,
Ref 16,4.12809e-08,,,,,,1.1969e-02,4.2045e-03,4.8896e-05,4.6308e-06,2.9503e-08,,,,,,,,,,,
Sam 16,4.07676e-08,1.20239e-02,4.2547e-03,4.9692e-05,4.7405e-06,2.9352e-08,,,,,,            4.5504,           11.9599,           16.2826,           23.6487,          -10.5497,            1.5395,            5.9921,           -0.2279,           -0.4044,          -38.0770,
Ref 17,4.07502e-08,,,,,,1.1969e-02,4.2044e-03,4.8896e-05,4.6312e-06,2.9830e-08,,,,,,,,,,,
Sam 17,4.02324e-08,1.20238e-02,4.2547e-03,4.9692e-05,4.7404e-06,2.9774e-08,,,,,,            4.5501,           11.9526,           16.3356,           23.5341,           26.0227,            1.5394,            5.9849,           -0.1684,           -0.5019,           -2.5077,
Ref 18,4.02310e-08,,,,,,1.1969e-02,4.2044e-03,4.8891e-05,4.6316e-06,2.8197e-08,,,,,,,,,,,
Sam 18,3.97045e-08,1.20240e-02,4.2547e-03,4.9690e-05,4.7443e-06,2.5675e-08,,,,,,            4.5595,           11.9676,           16.2934,           24.6414,          -34.9270,            1.5490,            5.9998,           -0.2342,            0.5498,          -61.7992,
Ref 19,3.97178e-08,,,,,,1.1969e-02,4.2044e-03,4.8897e-05,4.6288e-06,2.4991e-08,,,,,,,,,,,
Sam 19,3.91877e-08,1.20238e-02,4.2547e-03,4.9687e-05,4.7398e-06,2.1560e-08,,,,,,            4.5481,           11.9607,           16.2195,           23.5846,           -3.9527,            1.5370,            5.9929,           -0.2884,           -0.4686,          -31.6627,
Ref 20,3.92153e-08,,,,,,1.1969e-02,4.2044e-03,4.8891e-05,4.6325e-06,1.8257e-08,,,,,,,,,,,
Sam 20,3.86838e-08,1.20238e-02,4.2548e-03,4.9690e-05,4.7437e-06,1.9682e-08,,,,,,            4.5505,           11.9723,           16.3489,           23.9268,           10.4280,            1.5392,            6.0044,           -0.1748,           -0.1572,          -17.7067,
Ref 21,3.87203e-08,,,,,,1.1969e-02,4.2044e-03,4.8891e-05,4.6332e-06,2.0717e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.84822e-08,,,,,,1.1969e-02,4.2044e-03,4.8904e-05,4.6311e-06,1.9409e-08,
Sam 1,3.79423e-08,1.20237e-02,4.2547e-03,4.9689e-05,4.7415e-06,1.9671e-08,,,,,,            4.5512,           11.9546,           16.1344,           23.7960,          -40.6305,            1.5405,            5.9869,           -0.3693,           -0.2501,          -67.3121,
Ref 2,3.79996e-08,,,,,,1.1969e-02,4.2044e-03,4.8897e-05,4.6315e-06,2.1613e-08,,,,,,,,,,,
Sam 2,3.74568e-08,1.20237e-02,4.2547e-03,4.9686e-05,4.7398e-06,1.8795e-08,,,,,,            4.5503,           11.9528,           16.2152,           23.3862,           35.6886,            1.5397,            5.9850,           -0.2872,           -0.6466,            6.8889,
Ref 3,3.75277e-08,,,,,,1.1969e-02,4.2044e-03,4.8889e-05,4.6316e-06,1.4638e-08,,,,,,,,,,,
Sam 3,3.69817e-08,1.20236e-02,4.2546e-03,4.9688e-05,4.7401e-06,1.7503e-08,,,,,,            4.5470,           11.9508,           16.2313,           23.6023,          142.7243,            1.5362,            5.9831,           -0.2661,           -0.4317,          110.9563,
Ref 4,3.70574e-08,,,,,,1.1969e-02,4.2043e-03,4.8899e-05,4.6299e-06,1.6006e-08,,,,,,,,,,,
Sam 4,3.65095e-08,1.20236e-02,4.2546e-03,4.9687e-05,4.7366e-06,9.1734e-09,,,,,,            4.5471,           11.9680,           16.1161,           23.0756,         -371.8892,            1.5358,            6.0001,           -0.3963,           -0.9799,         -389.3711,
Ref 5,3.65995e-08,,,,,,1.1969e-02,4.2043e-03,4.8898e-05,4.6295e-06,1.3186e-08,,,,,,,,,,,
Sam 5,3.60457e-08,1.20236e-02,4.2546e-03,4.9689e-05,4.7417e-06,9.1873e-09,,,,,,            4.5525,           11.9582,           16.2255,           24.3014,         -311.2631,            1.5418,            5.9904,           -0.2846,            0.2363,         -330.4236,
Ref 6,3.61489e-08,,,,,,1.1969e-02,4.2043e-03,4.8892e-05,4.6288e-06,1.3494e-08,,,,,,,,,,,
Sam 6,3.55953e-08,1.20235e-02,4.2546e-03,4.9689e-05,4.7397e-06,9.2131e-09,,,,,,            4.5526,           11.9712,           16.2545,           24.2798,         -183.6023,            1.5415,            6.0033,           -0.2689,            0.1896,         -206.3344,
Ref 7,3.57087e-08,,,,,,1.1969e-02,4.2043e-03,4.8896e-05,4.6258e-06,9.0486e-09,,,,,,,,,,,
Sam 7,3.51504e-08,1.20236e-02,4.2546e-03,4.9684e-05,4.7405e-06,7.6204e-09,,,,,,            4.5555,           11.9578,           16.0454,           24.5311,         -170.1170,            1.5451,            5.9900,           -0.4645,            0.4614,         -193.2061,
Ref 8,3.52711e-08,,,,,,1.1969e-02,4.2044e-03,4.8903e-05,4.6282e-06,9.3181e-09,,,,,,,,,,,
Sam 8,3.46967e-08,1.20234e-02,4.2546e-03,4.9688e-05,4.7375e-06,7.6273e-09,,,,,,            4.5371,           11.9583,           16.1346,           23.8757,          -92.0565,            1.5254,            5.9906,           -0.3583,           -0.1796,         -117.3011,
Ref 9,3.48438e-08,,,,,,1.1969e-02,4.2043e-03,4.8896e-05,4.6259e-06,7.4719e-09,,,,,,,,,,,
Sam 9,3.42806e-08,1.20234e-02,4.2546e-03,4.9688e-05,4.7380e-06,4.6997e-09,,,,,,            4.5523,           11.9763,           16.2757,           24.1015,         -403.8707,            1.5409,            6.0085,           -0.2526,            0.0053,         -420.4750,
Ref 10,3.44246e-08,,,,,,1.1969e-02,4.2042e-03,4.8888e-05,4.6270e-06,8.3005e-09,,,,,,,,,,,
Sam 10,3.38546e-08,1.20233e-02,4.2546e-03,4.9686e-05,4.7377e-06,4.5528e-09,,,,,,            4.5544,           11.9720,           16.2826,           24.1952,         -414.3474,            1.5433,            6.0041,           -0.2437,            0.1054,         -430.6563,
Ref 11,3.40052e-08,,,,,,1.1969e-02,4.2042e-03,4.8891e-05,4.6245e-06,7.2408e-09,,,,,,,,,,,
Sam 11,3.34319e-08,1.20234e-02,4.2545e-03,4.9683e-05,4.7343e-06,1.9201e-09,,,,,,            4.5552,           11.9455,           16.1690,           23.5865,         -612.2303,            1.5451,            5.9778,           -0.3305,           -0.4367,         -623.0096,
Ref 12,3.35963e-08,,,,,,1.1969e-02,4.2042e-03,4.8895e-05,4.6259e-06,2.6345e-09,,,,,,,,,,,
Sam 12,3.30204e-08,1.20233e-02,4.2545e-03,4.9690e-05,4.7346e-06,2.1011e-09,,,,,,            4.5565,           11.9534,           16.2673,           23.6643,         -251.8272,            1.5463,            5.9856,           -0.2429,           -0.3763,         -272.6374,
Ref 13,3.31952e-08,,,,,,1.1969e-02,4.2043e-03,4.8895e-05,4.6244e-06,2.9842e-09,,,,,,,,,,,
Sam 13,3.26167e-08,1.20231e-02,4.2544e-03,4.9694e-05,4.7396e-06,2.4395e-09,,,,,,            4.5499,           11.9433,           16.3414,           24.7627,         -290.5371,            1.5396,            5.9756,           -0.1535,            0.7162,         -310.2524,
Ref 14,3.27942e-08,,,,,,1.1969e-02,4.2041e-03,4.8894e-05,4.6258e-06,3.8985e-09,,,,,,,,,,,
Sam 14,3.22163e-08,1.20232e-02,4.2544e-03,4.9687e-05,4.7361e-06,1.0323e-09,,,,,,            4.5595,           11.9491,           16.1883,           23.9728,         -738.9601,            1.5496,            5.9813,           -0.3196,           -0.0665,         -746.2193,
Ref 15,3.24057e-08,,,,,,1.1969e-02,4.2042e-03,4.8896e-05,4.6248e-06,4.0115e-09,,,,,,,,,,,
Sam 15,3.18255e-08,1.20230e-02,4.2544e-03,4.9691e-05,4.7343e-06,4.3832e-10,,,,,,            4.5429,           11.9355,           16.2987,           23.9922,         -840.9537,            1.5324,            5.9678,           -0.1807,           -0.0207,         -845.3696,
Ref 16,3.20227e-08,,,,,,1.1969e-02,4.2042e-03,4.8893e-05,4.6220e-06,1.4853e-09,,,,,,,,,,,
Sam 16,3.14358e-08,1.20232e-02,4.2544e-03,4.9688e-05,4.7354e-06,-3.5381e-09,,,,,,            4.5313,           11.9202,           16.1000,           23.9112,        -7558.8078,            1.5206,            5.9526,           -0.3494,           -0.0696,        -7376.9545,
Ref 17,3.16238e-08,,,,,,1.1969e-02,4.2044e-03,4.8909e-05,4.6277e-06,-4.1831e-10,,,,,,,,,,,
Sam 17,3.10574e-08,1.20230e-02,4.2543e-03,4.9691e-05,4.7337e-06,-9.2205e-11,,,,,,            4.5205,           11.9205,           16.0923,           22.9101,         -959.5625,            1.5090,            5.9530,           -0.3461,           -1.0478,         -960.6829,
Ref 18,3.12702e-08,,,,,,1.1968e-02,4.2040e-03,4.8898e-05,4.6278e-06,-4.1631e-09,,,,,,,,,,,
Sam 18,3.06822e-08,1.20229e-02,4.2543e-03,4.9688e-05,4.7338e-06,3.0071e-09,,,,,,            4.5419,           11.9612,           16.2060,           23.3929,        -1665.5287,            1.5305,            5.9934,           -0.2958,           -0.6567,        -1647.0167,
Ref 19,3.09042e-08,,,,,,1.1969e-02,4.2041e-03,4.8893e-05,4.6233e-06,-4.8778e-09,,,,,,,,,,,
Sam 19,3.03133e-08,1.20230e-02,4.2544e-03,4.9684e-05,4.7358e-06,-5.7809e-09,,,,,,            4.5410,           11.9632,           16.1181,           24.4235,          -47.7546,            1.5294,            5.9954,           -0.3833,            0.3457,          -74.2435,
Ref 20,3.05401e-08,,,,,,1.1969e-02,4.2040e-03,4.8898e-05,4.6225e-06,-7.2780e-09,,,,,,,,,,,
Sam 20,2.99485e-08,1.20230e-02,4.2544e-03,4.9684e-05,4.7341e-06,-1.0037e-08,,,,,,            4.5507,           11.9696,           16.1396,           24.3969,          494.3198,            1.5395,            6.0018,           -0.3783,            0.3070,          452.7185,
Ref 21,3.01872e-08,,,,,,1.1968e-02,4.2041e-03,4.8892e-05,4.6201e-06,-6.1486e-09,,,,,,,,,,,


