Nu Stable Isotope Analysis Program
Data Collected on Sunday, May 09, 2021 at 01:36 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, May 09, 2021 at 02:35 with Stable 1.71.5 on PS019

Data File = Data_13583 ETH-3.txt,         Sample Weight = 447,                      Vial Location = 31,                       Initial Sam Beam = 1.5484e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1231e-08,                Max Ref Beam = 1.0623e-07,                

Analysis undertaken at mass 46.00677
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.20764e-08,,,,,,1.1970e-02,4.2041e-03,4.8859e-05,4.6385e-06,6.4009e-08,
Sam 1,6.16023e-08,1.20246e-02,4.2545e-03,4.9660e-05,4.7501e-06,6.4498e-08,,,,,,            4.5631,           11.9622,           16.2850,           23.8089,           18.5593,            1.5529,            5.9943,           -0.2408,           -0.2524,           -9.7955,
Ref 2,6.12094e-08,,,,,,1.1970e-02,4.2044e-03,4.8869e-05,4.6408e-06,6.2628e-08,,,,,,,,,,,
Sam 2,6.06979e-08,1.20248e-02,4.2546e-03,4.9659e-05,4.7508e-06,6.3159e-08,,,,,,            4.5510,           11.9570,           16.2338,           23.7759,           24.4459,            1.5403,            5.9893,           -0.2738,           -0.2745,           -4.0502,
Ref 3,6.03262e-08,,,,,,1.1970e-02,4.2044e-03,4.8863e-05,4.6402e-06,6.0661e-08,,,,,,,,,,,
Sam 3,5.98082e-08,1.20248e-02,4.2546e-03,4.9661e-05,4.7523e-06,6.2869e-08,,,,,,            4.5539,           11.9525,           16.3374,           24.0374,           64.4630,            1.5436,            5.9847,           -0.1704,           -0.0102,           34.8598,
Ref 4,5.94382e-08,,,,,,1.1970e-02,4.2044e-03,4.8863e-05,4.6413e-06,5.7440e-08,,,,,,,,,,,
Sam 4,5.89330e-08,1.20248e-02,4.2546e-03,4.9662e-05,4.7512e-06,5.9537e-08,,,,,,            4.5532,           11.9482,           16.3074,           23.8248,           33.6641,            1.5429,            5.9804,           -0.1950,           -0.2093,            4.9267,
Ref 5,5.85802e-08,,,,,,1.1970e-02,4.2044e-03,4.8868e-05,4.6400e-06,5.7759e-08,,,,,,,,,,,
Sam 5,5.80760e-08,1.20248e-02,4.2547e-03,4.9657e-05,4.7502e-06,5.9532e-08,,,,,,            4.5508,           11.9582,           16.1713,           23.6754,            3.3087,            1.5400,            5.9904,           -0.3361,           -0.3749,          -24.6013,
Ref 6,5.77418e-08,,,,,,1.1970e-02,4.2044e-03,4.8866e-05,4.6407e-06,6.0935e-08,,,,,,,,,,,
Sam 6,5.72419e-08,1.20248e-02,4.2547e-03,4.9657e-05,4.7481e-06,6.1093e-08,,,,,,            4.5526,           11.9439,           16.2123,           23.1402,           14.4983,            1.5425,            5.9762,           -0.2838,           -0.8694,          -13.6977,
Ref 7,5.69199e-08,,,,,,1.1970e-02,4.2045e-03,4.8864e-05,4.6407e-06,5.9494e-08,,,,,,,,,,,
Sam 7,5.64115e-08,1.20248e-02,4.2547e-03,4.9658e-05,4.7506e-06,6.1235e-08,,,,,,            4.5453,           11.9511,           16.1492,           23.4997,           14.2844,            1.5344,            5.9834,           -0.3454,           -0.5325,          -13.9118,
Ref 8,5.61047e-08,,,,,,1.1970e-02,4.2045e-03,4.8873e-05,4.6423e-06,6.1263e-08,,,,,,,,,,,
Sam 8,5.56041e-08,1.20248e-02,4.2547e-03,4.9662e-05,4.7514e-06,6.0117e-08,,,,,,            4.5491,           11.9429,           16.0568,           23.7091,          -64.3635,            1.5387,            5.9752,           -0.4322,           -0.3118,          -90.3623,
Ref 9,5.53152e-08,,,,,,1.1970e-02,4.2045e-03,4.8881e-05,4.6403e-06,6.7284e-08,,,,,,,,,,,
Sam 9,5.48144e-08,1.20249e-02,4.2548e-03,4.9667e-05,4.7491e-06,6.3922e-08,,,,,,            4.5583,           11.9611,           16.1704,           23.7795,           -1.7522,            1.5479,            5.9933,           -0.3476,           -0.2790,          -29.5347,
Ref 10,5.45375e-08,,,,,,1.1970e-02,4.2045e-03,4.8872e-05,4.6372e-06,6.0739e-08,,,,,,,,,,,
Sam 10,5.40414e-08,1.20249e-02,4.2548e-03,4.9666e-05,4.7496e-06,6.0892e-08,,,,,,            4.5625,           11.9680,           16.2574,           23.9154,           -1.9092,            1.5521,            6.0002,           -0.2731,           -0.1600,          -29.7047,
Ref 11,5.37697e-08,,,,,,1.1970e-02,4.2045e-03,4.8871e-05,4.6401e-06,6.1283e-08,,,,,,,,,,,
Sam 11,5.32785e-08,1.20248e-02,4.2548e-03,4.9664e-05,4.7503e-06,6.2577e-08,,,,,,            4.5496,           11.9555,           16.2217,           23.5036,            9.5568,            1.5388,            5.9878,           -0.2827,           -0.5374,          -18.5207,
Ref 12,5.30236e-08,,,,,,1.1970e-02,4.2045e-03,4.8872e-05,4.6424e-06,6.2695e-08,,,,,,,,,,,
Sam 12,5.25347e-08,1.20247e-02,4.2548e-03,4.9661e-05,4.7516e-06,6.4215e-08,,,,,,            4.5445,           11.9370,           16.0777,           23.6799,           10.5044,            1.5341,            5.9693,           -0.4013,           -0.3287,          -17.5589,
Ref 13,5.22857e-08,,,,,,1.1970e-02,4.2046e-03,4.8878e-05,4.6410e-06,6.4411e-08,,,,,,,,,,,
Sam 13,5.18024e-08,1.20249e-02,4.2549e-03,4.9669e-05,4.7504e-06,6.2537e-08,,,,,,            4.5538,           11.9564,           16.1714,           23.4386,          -19.3111,            1.5433,            5.9886,           -0.3374,           -0.6026,          -46.5917,
Ref 14,5.15672e-08,,,,,,1.1970e-02,4.2046e-03,4.8879e-05,4.6422e-06,6.3117e-08,,,,,,,,,,,
Sam 14,5.10853e-08,1.20249e-02,4.2549e-03,4.9675e-05,4.7524e-06,6.4815e-08,,,,,,            4.5536,           11.9570,           16.3106,           23.6364,           68.6167,            1.5430,            5.9892,           -0.2008,           -0.4106,           38.8893,
Ref 15,5.08568e-08,,,,,,1.1970e-02,4.2047e-03,4.8876e-05,4.6432e-06,5.8155e-08,,,,,,,,,,,
Sam 15,5.03799e-08,1.20248e-02,4.2549e-03,4.9678e-05,4.7500e-06,6.0033e-08,,,,,,            4.5453,           11.9435,           16.3180,           23.1020,           12.2231,            1.5347,            5.9758,           -0.1719,           -0.9059,          -15.9011,
Ref 16,5.01579e-08,,,,,,1.1970e-02,4.2046e-03,4.8884e-05,4.6423e-06,6.0477e-08,,,,,,,,,,,
Sam 16,4.96862e-08,1.20247e-02,4.2549e-03,4.9675e-05,4.7538e-06,5.9122e-08,,,,,,            4.5469,           11.9467,           16.2368,           24.1468,          -28.4381,            1.5362,            5.9790,           -0.2565,            0.1081,          -55.4400,
Ref 17,4.94768e-08,,,,,,1.1970e-02,4.2046e-03,4.8878e-05,4.6411e-06,6.1234e-08,,,,,,,,,,,
Sam 17,4.90043e-08,1.20249e-02,4.2550e-03,4.9676e-05,4.7525e-06,5.6453e-08,,,,,,            4.5613,           11.9606,           16.2765,           23.7867,          -32.9729,            1.5511,            5.9928,           -0.2458,           -0.2711,          -59.8885,
Ref 18,4.88073e-08,,,,,,1.1970e-02,4.2047e-03,4.8882e-05,4.6432e-06,5.5483e-08,,,,,,,,,,,
Sam 18,4.83360e-08,1.20249e-02,4.2549e-03,4.9675e-05,4.7513e-06,5.2047e-08,,,,,,            4.5554,           11.9470,           16.2144,           23.1857,          -43.6461,            1.5453,            5.9793,           -0.2876,           -0.8311,          -70.2343,
Ref 19,4.81532e-08,,,,,,1.1970e-02,4.2047e-03,4.8883e-05,4.6441e-06,5.3347e-08,,,,,,,,,,,
Sam 19,4.76810e-08,1.20249e-02,4.2550e-03,4.9679e-05,4.7519e-06,5.3294e-08,,,,,,            4.5559,           11.9508,           16.2671,           23.3760,          -16.8137,            1.5457,            5.9830,           -0.2399,           -0.6526,          -44.1553,
Ref 20,4.75121e-08,,,,,,1.1970e-02,4.2047e-03,4.8884e-05,4.6427e-06,5.5076e-08,,,,,,,,,,,
Sam 20,4.70318e-08,1.20249e-02,4.2550e-03,4.9685e-05,4.7540e-06,5.3988e-08,,,,,,            4.5542,           11.9488,           16.3243,           23.8266,          -35.3592,            1.5440,            5.9811,           -0.1801,           -0.2088,          -62.1799,
Ref 21,4.68742e-08,,,,,,1.1970e-02,4.2047e-03,4.8890e-05,4.6440e-06,5.6870e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.65648e-08,,,,,,1.1970e-02,4.2046e-03,4.8888e-05,4.6436e-06,5.2636e-08,
Sam 1,4.60741e-08,1.20247e-02,4.2549e-03,4.9686e-05,4.7553e-06,5.2910e-08,,,,,,            4.5545,           11.9486,           16.3135,           24.3220,           24.4570,            1.5443,            5.9808,           -0.1908,            0.2755,           -4.0268,
Ref 2,4.59466e-08,,,,,,1.1970e-02,4.2047e-03,4.8889e-05,4.6412e-06,5.0644e-08,,,,,,,,,,,
Sam 2,4.54472e-08,1.20248e-02,4.2550e-03,4.9689e-05,4.7557e-06,4.7994e-08,,,,,,            4.5583,           11.9595,           16.3836,           24.2967,          -44.2611,            1.5480,            5.9917,           -0.1363,            0.2291,          -70.8577,
Ref 3,4.53293e-08,,,,,,1.1970e-02,4.2047e-03,4.8887e-05,4.6446e-06,4.9783e-08,,,,,,,,,,,
Sam 3,4.48303e-08,1.20247e-02,4.2550e-03,4.9688e-05,4.7541e-06,4.7593e-08,,,,,,            4.5522,           11.9484,           16.3061,           23.5667,          -30.6791,            1.5419,            5.9807,           -0.1955,           -0.4618,          -57.6272,
Ref 4,4.47310e-08,,,,,,1.1970e-02,4.2047e-03,4.8895e-05,4.6446e-06,4.8406e-08,,,,,,,,,,,
Sam 4,4.42278e-08,1.20248e-02,4.2550e-03,4.9684e-05,4.7531e-06,4.8739e-08,,,,,,            4.5611,           11.9486,           16.1506,           23.3789,           -8.0738,            1.5513,            5.9808,           -0.3577,           -0.6455,          -35.6597,
Ref 5,4.41460e-08,,,,,,1.1970e-02,4.2048e-03,4.8893e-05,4.6443e-06,4.9874e-08,,,,,,,,,,,
Sam 5,4.36402e-08,1.20245e-02,4.2549e-03,4.9693e-05,4.7550e-06,5.1677e-08,,,,,,            4.5428,           11.9400,           16.2850,           23.9965,           38.5993,            1.5321,            5.9724,           -0.1984,           -0.0255,            9.7517,
Ref 6,4.35710e-08,,,,,,1.1970e-02,4.2047e-03,4.8901e-05,4.6429e-06,4.9638e-08,,,,,,,,,,,
Sam 6,4.30588e-08,1.20246e-02,4.2549e-03,4.9686e-05,4.7478e-06,4.8820e-08,,,,,,            4.5489,           11.9351,           16.0647,           22.4316,          -48.7120,            1.5387,            5.9674,           -0.4166,           -1.5439,          -75.1315,
Ref 7,4.30033e-08,,,,,,1.1970e-02,4.2047e-03,4.8901e-05,4.6443e-06,5.3025e-08,,,,,,,,,,,
Sam 7,4.24924e-08,1.20247e-02,4.2549e-03,4.9690e-05,4.7535e-06,5.3178e-08,,,,,,            4.5597,           11.9436,           16.2171,           23.6795,           51.4519,            1.5500,            5.9759,           -0.2861,           -0.3422,           22.2219,
Ref 8,4.24474e-08,,,,,,1.1970e-02,4.2047e-03,4.8894e-05,4.6427e-06,4.8095e-08,,,,,,,,,,,
Sam 8,4.19309e-08,1.20245e-02,4.2549e-03,4.9691e-05,4.7554e-06,4.5076e-08,,,,,,            4.5521,           11.9396,           16.2682,           24.3258,          -66.4028,            1.5421,            5.9719,           -0.2241,            0.2970,          -92.3420,
Ref 9,4.19011e-08,,,,,,1.1970e-02,4.2047e-03,4.8898e-05,4.6423e-06,4.8471e-08,,,,,,,,,,,
Sam 9,4.13822e-08,1.20243e-02,4.2549e-03,4.9697e-05,4.7523e-06,4.8214e-08,,,,,,            4.5468,           11.9466,           16.3182,           23.5473,            7.6865,            1.5362,            5.9789,           -0.1762,           -0.4771,          -20.3191,
Ref 10,4.13573e-08,,,,,,1.1970e-02,4.2046e-03,4.8900e-05,4.6437e-06,4.7214e-08,,,,,,,,,,,
Sam 10,4.08368e-08,1.20244e-02,4.2549e-03,4.9694e-05,4.7533e-06,4.8398e-08,,,,,,            4.5544,           11.9534,           16.1946,           23.5754,           12.5491,            1.5440,            5.9857,           -0.3123,           -0.4633,          -15.6127,
Ref 11,4.08249e-08,,,,,,1.1970e-02,4.2046e-03,4.8903e-05,4.6439e-06,4.8390e-08,,,,,,,,,,,
Sam 11,4.03061e-08,1.20244e-02,4.2549e-03,4.9690e-05,4.7537e-06,4.6906e-08,,,,,,            4.5502,           11.9468,           16.1315,           23.6245,            7.0065,            1.5398,            5.9791,           -0.3636,           -0.4021,          -20.9841,
Ref 12,4.03099e-08,,,,,,1.1970e-02,4.2047e-03,4.8899e-05,4.6441e-06,4.4746e-08,,,,,,,,,,,
Sam 12,3.97894e-08,1.20243e-02,4.2549e-03,4.9693e-05,4.7525e-06,5.0567e-08,,,,,,            4.5529,           11.9409,           16.1984,           23.8348,           70.8229,            1.5428,            5.9732,           -0.2948,           -0.1852,           41.0673,
Ref 13,3.98042e-08,,,,,,1.1970e-02,4.2046e-03,4.8903e-05,4.6395e-06,4.9730e-08,,,,,,,,,,,
Sam 13,3.92838e-08,1.20242e-02,4.2549e-03,4.9688e-05,4.7547e-06,4.6852e-08,,,,,,            4.5559,           11.9466,           16.0718,           24.4918,          -53.3316,            1.5459,            5.9788,           -0.4280,            0.4453,          -79.6502,
Ref 14,3.93063e-08,,,,,,1.1970e-02,4.2046e-03,4.8902e-05,4.6425e-06,4.9250e-08,,,,,,,,,,,
Sam 14,3.87787e-08,1.20241e-02,4.2548e-03,4.9695e-05,4.7535e-06,5.1248e-08,,,,,,            4.5445,           11.9342,           16.2725,           23.7644,           42.9094,            1.5342,            5.9666,           -0.2069,           -0.2407,           13.9516,
Ref 15,3.88135e-08,,,,,,1.1970e-02,4.2046e-03,4.8897e-05,4.6437e-06,4.9028e-08,,,,,,,,,,,
Sam 15,3.82831e-08,1.20242e-02,4.2548e-03,4.9689e-05,4.7513e-06,4.4144e-08,,,,,,            4.5532,           11.9433,           16.1533,           23.3465,          -67.5591,            1.5431,            5.9756,           -0.3419,           -0.6667,          -93.4739,
Ref 16,3.83324e-08,,,,,,1.1970e-02,4.2046e-03,4.8901e-05,4.6421e-06,4.5636e-08,,,,,,,,,,,
Sam 16,3.77875e-08,1.20242e-02,4.2549e-03,4.9692e-05,4.7513e-06,4.8244e-08,,,,,,            4.5556,           11.9584,           16.1620,           23.3336,           50.1660,            1.5451,            5.9906,           -0.3504,           -0.7091,           20.9469,
Ref 17,3.78535e-08,,,,,,1.1970e-02,4.2046e-03,4.8903e-05,4.6438e-06,4.6246e-08,,,,,,,,,,,
Sam 17,3.73067e-08,1.20241e-02,4.2549e-03,4.9699e-05,4.7523e-06,4.1388e-08,,,,,,            4.5538,           11.9624,           16.3210,           23.3497,          -53.1931,            1.5431,            5.9945,           -0.1961,           -0.7012,          -79.5418,
Ref 18,3.73846e-08,,,,,,1.1970e-02,4.2046e-03,4.8898e-05,4.6439e-06,4.1149e-08,,,,,,,,,,,
Sam 18,3.68321e-08,1.20241e-02,4.2548e-03,4.9699e-05,4.7531e-06,4.0849e-08,,,,,,            4.5579,           11.9480,           16.3016,           24.0569,            4.4647,            1.5479,            5.9802,           -0.2053,            0.0178,          -23.4655,
Ref 19,3.69208e-08,,,,,,1.1970e-02,4.2046e-03,4.8905e-05,4.6389e-06,4.0179e-08,,,,,,,,,,,
Sam 19,3.63629e-08,1.20241e-02,4.2547e-03,4.9694e-05,4.7493e-06,4.1115e-08,,,,,,            4.5518,           11.9248,           16.1110,           23.1500,           54.9515,            1.5422,            5.9572,           -0.3640,           -0.8221,           25.6703,
Ref 20,3.64658e-08,,,,,,1.1970e-02,4.2046e-03,4.8908e-05,4.6447e-06,3.7753e-08,,,,,,,,,,,
Sam 20,3.59009e-08,1.20240e-02,4.2548e-03,4.9700e-05,4.7550e-06,3.8382e-08,,,,,,            4.5469,           11.9522,           16.1679,           24.5438,          -25.3252,            1.5361,            5.9845,           -0.3297,            0.4849,          -52.4238,
Ref 21,3.60152e-08,,,,,,1.1970e-02,4.2046e-03,4.8910e-05,4.6374e-06,4.1026e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.57965e-08,,,,,,1.1969e-02,4.2045e-03,4.8908e-05,4.6419e-06,3.9313e-08,
Sam 1,3.52260e-08,1.20238e-02,4.2547e-03,4.9699e-05,4.7495e-06,4.0767e-08,,,,,,            4.5417,           11.9414,           16.2057,           23.1370,            3.0061,            1.5309,            5.9737,           -0.2766,           -0.8675,          -24.8543,
Ref 2,3.53554e-08,,,,,,1.1969e-02,4.2045e-03,4.8905e-05,4.6422e-06,4.1993e-08,,,,,,,,,,,
Sam 2,3.47859e-08,1.20237e-02,4.2547e-03,4.9697e-05,4.7501e-06,3.8260e-08,,,,,,            4.5342,           11.9277,           16.2051,           23.4258,          -50.3604,            1.5233,            5.9601,           -0.2562,           -0.5585,          -76.7065,
Ref 3,3.49246e-08,,,,,,1.1969e-02,4.2045e-03,4.8905e-05,4.6406e-06,3.8564e-08,,,,,,,,,,,
Sam 3,3.43514e-08,1.20238e-02,4.2547e-03,4.9707e-05,4.7503e-06,4.0176e-08,,,,,,            4.5525,           11.9307,           16.3348,           23.5430,          -10.8008,            1.5428,            5.9631,           -0.1503,           -0.4500,          -38.2688,
Ref 4,3.45022e-08,,,,,,1.1969e-02,4.2044e-03,4.8911e-05,4.6415e-06,4.2690e-08,,,,,,,,,,,
Sam 4,3.39257e-08,1.20238e-02,4.2546e-03,4.9694e-05,4.7466e-06,3.6410e-08,,,,,,            4.5670,           11.9404,           16.0250,           22.8262,         -107.6010,            1.5579,            5.9726,           -0.4794,           -1.1690,         -132.4105,
Ref 5,3.40863e-08,,,,,,1.1969e-02,4.2044e-03,4.8909e-05,4.6399e-06,3.8888e-08,,,,,,,,,,,
Sam 5,3.35065e-08,1.20236e-02,4.2546e-03,4.9704e-05,4.7491e-06,3.6946e-08,,,,,,            4.5477,           11.9273,           16.2188,           23.5658,          -14.5447,            1.5378,            5.9597,           -0.2563,           -0.4210,          -41.8975,
Ref 6,3.36783e-08,,,,,,1.1969e-02,4.2044e-03,4.8912e-05,4.6396e-06,3.6078e-08,,,,,,,,,,,
Sam 6,3.30954e-08,1.20235e-02,4.2546e-03,4.9696e-05,4.7535e-06,3.4044e-08,,,,,,            4.5394,           11.9351,           16.0813,           24.2019,         -113.3139,            1.5286,            5.9675,           -0.3905,            0.1848,         -137.9306,
Ref 7,3.32741e-08,,,,,,1.1969e-02,4.2044e-03,4.8906e-05,4.6428e-06,4.0740e-08,,,,,,,,,,,
Sam 7,3.26890e-08,1.20236e-02,4.2546e-03,4.9701e-05,4.7487e-06,3.8975e-08,,,,,,            4.5510,           11.9259,           16.2534,           23.1782,           -1.3470,            1.5414,            5.9583,           -0.2243,           -0.7967,          -29.0669,
Ref 8,3.28769e-08,,,,,,1.1969e-02,4.2044e-03,4.8906e-05,4.6394e-06,3.7294e-08,,,,,,,,,,,
Sam 8,3.22878e-08,1.20234e-02,4.2545e-03,4.9697e-05,4.7478e-06,3.5145e-08,,,,,,            4.5440,           11.9075,           16.1228,           23.1186,          -14.4594,            1.5345,            5.9400,           -0.3276,           -0.8185,          -41.7738,
Ref 9,3.24848e-08,,,,,,1.1969e-02,4.2044e-03,4.8911e-05,4.6416e-06,3.4007e-08,,,,,,,,,,,
Sam 9,3.18922e-08,1.20235e-02,4.2545e-03,4.9699e-05,4.7525e-06,3.3826e-08,,,,,,            4.5551,           11.9360,           16.1201,           24.2075,           47.1744,            1.5453,            5.9684,           -0.3694,            0.1884,           18.0832,
Ref 10,3.20999e-08,,,,,,1.1969e-02,4.2043e-03,4.8911e-05,4.6388e-06,3.0577e-08,,,,,,,,,,,
Sam 10,3.15085e-08,1.20232e-02,4.2545e-03,4.9706e-05,4.7480e-06,3.0731e-08,,,,,,            4.5352,           11.9396,           16.2508,           23.5192,          -18.3038,            1.5240,            5.9719,           -0.2238,           -0.4907,          -45.5623,
Ref 11,3.17229e-08,,,,,,1.1969e-02,4.2043e-03,4.8911e-05,4.6390e-06,3.2039e-08,,,,,,,,,,,
Sam 11,3.11273e-08,1.20234e-02,4.2545e-03,4.9692e-05,4.7457e-06,3.0268e-08,,,,,,            4.5424,           11.9340,           16.0132,           22.9357,          -21.4959,            1.5319,            5.9664,           -0.4596,           -1.0496,          -48.6629,
Ref 12,3.13496e-08,,,,,,1.1969e-02,4.2043e-03,4.8908e-05,4.6395e-06,2.9814e-08,,,,,,,,,,,
Sam 12,3.07497e-08,1.20233e-02,4.2544e-03,4.9701e-05,4.7502e-06,2.9704e-08,,,,,,            4.5341,           11.9075,           16.2044,           24.6771,          -20.6874,            1.5239,            5.9400,           -0.2371,            0.7035,          -47.8192,
Ref 13,3.09820e-08,,,,,,1.1969e-02,4.2043e-03,4.8910e-05,4.6321e-06,3.0855e-08,,,,,,,,,,,
Sam 13,3.03795e-08,1.20233e-02,4.2545e-03,4.9700e-05,4.7479e-06,2.6193e-08,,,,,,            4.5454,           11.9282,           16.0819,           24.1971,         -184.6575,            1.5352,            5.9606,           -0.3894,            0.1937,         -207.2879,
Ref 14,3.06197e-08,,,,,,1.1969e-02,4.2043e-03,4.8917e-05,4.6394e-06,3.3410e-08,,,,,,,,,,,
Sam 14,3.00172e-08,1.20231e-02,4.2544e-03,4.9703e-05,4.7494e-06,3.1149e-08,,,,,,            4.5387,           11.9116,           16.1544,           23.8438,           46.7725,            1.5288,            5.9441,           -0.2951,           -0.1185,           17.7585,
Ref 15,3.02636e-08,,,,,,1.1969e-02,4.2043e-03,4.8908e-05,4.6382e-06,2.6063e-08,,,,,,,,,,,
Sam 15,2.96594e-08,1.20231e-02,4.2543e-03,4.9702e-05,4.7463e-06,2.3423e-08,,,,,,            4.5436,           11.9135,           16.1940,           23.2405,         -114.3160,            1.5339,            5.9459,           -0.2630,           -0.7113,         -138.8725,
Ref 16,2.99143e-08,,,,,,1.1969e-02,4.2042e-03,4.8911e-05,4.6387e-06,2.6833e-08,,,,,,,,,,,
Sam 16,2.93081e-08,1.20230e-02,4.2543e-03,4.9709e-05,4.7487e-06,3.0738e-08,,,,,,            4.5394,           11.9236,           16.3200,           24.0093,           85.0536,            1.5290,            5.9560,           -0.1445,            0.0194,           54.9532,
Ref 17,2.95657e-08,,,,,,1.1969e-02,4.2042e-03,4.8910e-05,4.6360e-06,2.9841e-08,,,,,,,,,,,
Sam 17,2.89594e-08,1.20229e-02,4.2543e-03,4.9703e-05,4.7490e-06,3.1281e-08,,,,,,            4.5424,           11.9293,           16.2074,           23.8422,           61.8769,            1.5320,            5.9617,           -0.2639,           -0.1549,           32.4047,
Ref 18,2.92237e-08,,,,,,1.1969e-02,4.2042e-03,4.8910e-05,4.6408e-06,2.9071e-08,,,,,,,,,,,
Sam 18,2.86156e-08,1.20230e-02,4.2542e-03,4.9704e-05,4.7448e-06,2.7339e-08,,,,,,            4.5538,           11.9187,           16.3485,           22.5101,          -28.2131,            1.5446,            5.9511,           -0.1265,           -1.4348,          -55.1767,
Ref 19,2.88910e-08,,,,,,1.1968e-02,4.2041e-03,4.8899e-05,4.6400e-06,2.7183e-08,,,,,,,,,,,
Sam 19,2.82800e-08,1.20228e-02,4.2543e-03,4.9693e-05,4.7469e-06,3.1065e-08,,,,,,            4.5397,           11.9272,           16.0741,           23.4543,           89.3151,            1.5293,            5.9596,           -0.3903,           -0.5297,           59.0886,
Ref 20,2.85635e-08,,,,,,1.1968e-02,4.2041e-03,4.8914e-05,4.6362e-06,2.9868e-08,,,,,,,,,,,
Sam 20,2.79485e-08,1.20228e-02,4.2543e-03,4.9697e-05,4.7514e-06,2.5861e-08,,,,,,            4.5424,           11.9202,           15.6909,           24.6425,         -260.7392,            1.5324,            5.9526,           -0.7632,            0.6446,         -281.2444,
Ref 21,2.82369e-08,,,,,,1.1968e-02,4.2041e-03,4.8944e-05,4.6380e-06,4.0155e-08,,,,,,,,,,,


