Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 11, 2021 at 03:50 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 11, 2021 at 04:49 with Stable 1.71.5 on PS019

Data File = Data_13599 ETH-1.txt,         Sample Weight = 459,                      Vial Location = 47,                       Initial Sam Beam = 1.5527e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4330e-08,                Max Ref Beam = 1.0607e-07,                

Analysis undertaken at mass 46.00883
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.22281e-08,,,,,,1.1969e-02,4.2038e-03,4.8856e-05,4.6376e-06,6.2844e-08,
Sam 1,6.17808e-08,1.20275e-02,4.2522e-03,4.9630e-05,4.7424e-06,6.3033e-08,,,,,,            4.8329,           11.4702,           15.7513,           22.5677,            0.3971,            1.8571,            5.5042,           -0.5641,           -0.4929,          -26.7993,
Ref 2,6.13626e-08,,,,,,1.1970e-02,4.2040e-03,4.8865e-05,4.6377e-06,6.3174e-08,,,,,,,,,,,
Sam 2,6.08810e-08,1.20275e-02,4.2523e-03,4.9627e-05,4.7446e-06,6.3668e-08,,,,,,            4.8165,           11.4746,           15.5387,           22.8422,           26.1664,            1.8395,            5.5086,           -0.7608,           -0.2332,           -1.7217,
Ref 3,6.04641e-08,,,,,,1.1970e-02,4.2041e-03,4.8870e-05,4.6395e-06,6.0898e-08,,,,,,,,,,,
Sam 3,5.99808e-08,1.20274e-02,4.2522e-03,4.9627e-05,4.7448e-06,6.3306e-08,,,,,,            4.8082,           11.4558,           15.5175,           22.7707,           11.5669,            1.8312,            5.4899,           -0.7548,           -0.2659,          -15.8797,
Ref 4,5.95849e-08,,,,,,1.1970e-02,4.2041e-03,4.8867e-05,4.6387e-06,6.4290e-08,,,,,,,,,,,
Sam 4,5.90993e-08,1.20276e-02,4.2523e-03,4.9626e-05,4.7417e-06,6.0507e-08,,,,,,            4.8304,           11.4717,           15.5312,           22.1979,          -36.9825,            1.8544,            5.5057,           -0.7796,           -0.8573,          -63.1630,
Ref 5,5.87163e-08,,,,,,1.1970e-02,4.2041e-03,4.8867e-05,4.6388e-06,6.1349e-08,,,,,,,,,,,
Sam 5,5.82407e-08,1.20275e-02,4.2522e-03,4.9629e-05,4.7419e-06,6.2818e-08,,,,,,            4.8230,           11.4386,           15.5872,           22.4089,           31.6325,            1.8476,            5.4728,           -0.6847,           -0.5857,            3.6592,
Ref 6,5.78669e-08,,,,,,1.1970e-02,4.2041e-03,4.8867e-05,4.6372e-06,6.0427e-08,,,,,,,,,,,
Sam 6,5.73959e-08,1.20275e-02,4.2523e-03,4.9627e-05,4.7428e-06,6.1518e-08,,,,,,            4.8247,           11.4622,           15.5703,           22.5728,           20.6751,            1.8486,            5.4962,           -0.7260,           -0.4721,           -7.0485,
Ref 7,5.70403e-08,,,,,,1.1970e-02,4.2041e-03,4.8866e-05,4.6391e-06,6.0114e-08,,,,,,,,,,,
Sam 7,5.65738e-08,1.20275e-02,4.2523e-03,4.9627e-05,4.7432e-06,6.2039e-08,,,,,,            4.8248,           11.4574,           15.5779,           22.3759,           34.0608,            1.8489,            5.4914,           -0.7139,           -0.6550,            5.9830,
Ref 8,5.62325e-08,,,,,,1.1970e-02,4.2042e-03,4.8866e-05,4.6397e-06,5.9874e-08,,,,,,,,,,,
Sam 8,5.57684e-08,1.20276e-02,4.2523e-03,4.9627e-05,4.7430e-06,5.5723e-08,,,,,,            4.8258,           11.4540,           15.5515,           22.5856,          -48.5876,            1.8501,            5.4881,           -0.7377,           -0.4434,          -74.4162,
Ref 9,5.54324e-08,,,,,,1.1970e-02,4.2042e-03,4.8869e-05,4.6368e-06,5.7245e-08,,,,,,,,,,,
Sam 9,5.49723e-08,1.20275e-02,4.2523e-03,4.9632e-05,4.7438e-06,5.7978e-08,,,,,,            4.8175,           11.4370,           15.6492,           23.0002,           21.6200,            1.8418,            5.4712,           -0.6165,           -0.0046,           -6.0730,
Ref 10,5.46489e-08,,,,,,1.1970e-02,4.2042e-03,4.8865e-05,4.6375e-06,5.6250e-08,,,,,,,,,,,
Sam 10,5.41925e-08,1.20274e-02,4.2523e-03,4.9637e-05,4.7441e-06,5.6473e-08,,,,,,            4.8233,           11.4480,           15.7171,           22.7178,           -4.9782,            1.8477,            5.4821,           -0.5663,           -0.3022,          -31.9768,
Ref 11,5.38834e-08,,,,,,1.1970e-02,4.2042e-03,4.8872e-05,4.6401e-06,5.7268e-08,,,,,,,,,,,
Sam 11,5.34285e-08,1.20274e-02,4.2524e-03,4.9634e-05,4.7425e-06,5.4533e-08,,,,,,            4.8224,           11.4554,           15.5878,           22.4799,          -28.8514,            1.8464,            5.4895,           -0.6998,           -0.5495,          -55.2149,
Ref 12,5.31228e-08,,,,,,1.1970e-02,4.2043e-03,4.8872e-05,4.6364e-06,5.5021e-08,,,,,,,,,,,
Sam 12,5.26775e-08,1.20276e-02,4.2524e-03,4.9637e-05,4.7458e-06,5.6468e-08,,,,,,            4.8307,           11.4431,           15.5862,           23.0677,           -5.1260,            1.8557,            5.4772,           -0.6979,            0.0495,          -32.1189,
Ref 13,5.23852e-08,,,,,,1.1970e-02,4.2043e-03,4.8878e-05,4.6412e-06,5.8520e-08,,,,,,,,,,,
Sam 13,5.19414e-08,1.20275e-02,4.2524e-03,4.9638e-05,4.7433e-06,5.7275e-08,,,,,,            4.8173,           11.4527,           15.5399,           22.1081,          -21.1032,            1.8411,            5.4868,           -0.7390,           -0.9075,          -47.6669,
Ref 14,5.16616e-08,,,,,,1.1970e-02,4.2043e-03,4.8879e-05,4.6402e-06,5.8499e-08,,,,,,,,,,,
Sam 14,5.12210e-08,1.20275e-02,4.2524e-03,4.9637e-05,4.7444e-06,5.7281e-08,,,,,,            4.8129,           11.4566,           15.4906,           22.7338,            3.3290,            1.8362,            5.4907,           -0.7869,           -0.3036,          -23.9006,
Ref 15,5.09523e-08,,,,,,1.1970e-02,4.2043e-03,4.8880e-05,4.6377e-06,5.5663e-08,,,,,,,,,,,
Sam 15,5.05148e-08,1.20275e-02,4.2524e-03,4.9643e-05,4.7452e-06,5.8736e-08,,,,,,            4.8228,           11.4567,           15.6040,           22.8144,           53.8291,            1.8468,            5.4907,           -0.6855,           -0.2250,           25.2181,
Ref 16,5.02541e-08,,,,,,1.1970e-02,4.2043e-03,4.8881e-05,4.6412e-06,5.5810e-08,,,,,,,,,,,
Sam 16,4.98174e-08,1.20272e-02,4.2524e-03,4.9641e-05,4.7458e-06,5.8238e-08,,,,,,            4.8092,           11.4421,           15.5374,           22.6633,           34.0189,            1.8328,            5.4763,           -0.7230,           -0.3439,            5.9887,
Ref 17,4.95665e-08,,,,,,1.1970e-02,4.2043e-03,4.8883e-05,4.6402e-06,5.6841e-08,,,,,,,,,,,
Sam 17,4.91395e-08,1.20273e-02,4.2524e-03,4.9640e-05,4.7458e-06,5.5450e-08,,,,,,            4.8195,           11.4491,           15.5494,           22.8384,          -29.4453,            1.8435,            5.4832,           -0.7286,           -0.1867,          -55.7783,
Ref 18,4.88983e-08,,,,,,1.1970e-02,4.2043e-03,4.8878e-05,4.6395e-06,5.7427e-08,,,,,,,,,,,
Sam 18,4.84659e-08,1.20273e-02,4.2524e-03,4.9646e-05,4.7454e-06,6.0456e-08,,,,,,            4.8166,           11.4391,           15.6151,           22.4531,           31.9033,            1.8408,            5.4732,           -0.6511,           -0.5434,            3.9285,
Ref 19,4.82326e-08,,,,,,1.1970e-02,4.2043e-03,4.8887e-05,4.6429e-06,5.9762e-08,,,,,,,,,,,
Sam 19,4.78033e-08,1.20274e-02,4.2525e-03,4.9646e-05,4.7452e-06,5.7546e-08,,,,,,            4.8280,           11.4591,           15.5267,           22.3911,          -34.5885,            1.8523,            5.4931,           -0.7692,           -0.6436,          -60.8086,
Ref 20,4.75830e-08,,,,,,1.1970e-02,4.2043e-03,4.8887e-05,4.6397e-06,5.9451e-08,,,,,,,,,,,
Sam 20,4.71467e-08,1.20272e-02,4.2524e-03,4.9652e-05,4.7459e-06,5.6443e-08,,,,,,            4.8183,           11.4524,           15.6299,           22.7573,          -19.0004,            1.8422,            5.4865,           -0.6513,           -0.2724,          -45.6218,
Ref 21,4.69450e-08,,,,,,1.1970e-02,4.2043e-03,4.8888e-05,4.6409e-06,5.5596e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.66382e-08,,,,,,1.1970e-02,4.2043e-03,4.8890e-05,4.6414e-06,5.4697e-08,
Sam 1,4.61883e-08,1.20272e-02,4.2524e-03,4.9655e-05,4.7470e-06,5.3220e-08,,,,,,            4.8249,           11.4485,           15.5962,           22.3111,          -23.2767,            1.8493,            5.4826,           -0.6874,           -0.7009,          -49.7813,
Ref 2,4.60101e-08,,,,,,1.1969e-02,4.2043e-03,4.8896e-05,4.6455e-06,5.4278e-08,,,,,,,,,,,
Sam 2,4.55659e-08,1.20269e-02,4.2523e-03,4.9649e-05,4.7484e-06,5.6490e-08,,,,,,            4.8129,           11.4412,           15.4617,           22.2234,           38.6497,            1.8367,            5.4753,           -0.8003,           -0.7720,           10.4919,
Ref 3,4.54054e-08,,,,,,1.1969e-02,4.2042e-03,4.8891e-05,4.6449e-06,5.4500e-08,,,,,,,,,,,
Sam 3,4.49496e-08,1.20269e-02,4.2524e-03,4.9650e-05,4.7484e-06,5.7380e-08,,,,,,            4.8077,           11.4461,           15.4813,           22.3899,           26.7262,            1.8311,            5.4802,           -0.7806,           -0.6190,           -1.1125,
Ref 4,4.48072e-08,,,,,,1.1969e-02,4.2043e-03,4.8896e-05,4.6439e-06,5.7291e-08,,,,,,,,,,,
Sam 4,4.43394e-08,1.20273e-02,4.2525e-03,4.9655e-05,4.7501e-06,5.7654e-08,,,,,,            4.8311,           11.4707,           15.5240,           23.2316,           -7.8443,            1.8552,            5.5047,           -0.7865,            0.1550,          -34.8157,
Ref 5,4.42099e-08,,,,,,1.1970e-02,4.2044e-03,4.8897e-05,4.6407e-06,5.8939e-08,,,,,,,,,,,
Sam 5,4.37437e-08,1.20271e-02,4.2525e-03,4.9664e-05,4.7497e-06,5.7875e-08,,,,,,            4.8072,           11.4418,           15.6455,           22.9058,            2.3099,            1.8307,            5.4760,           -0.6142,           -0.1063,          -24.8580,
Ref 6,4.36281e-08,,,,,,1.1970e-02,4.2043e-03,4.8901e-05,4.6460e-06,5.6528e-08,,,,,,,,,,,
Sam 6,4.31574e-08,1.20272e-02,4.2525e-03,4.9657e-05,4.7494e-06,5.5570e-08,,,,,,            4.8227,           11.4433,           15.4814,           22.3996,           -2.8849,            1.8471,            5.4774,           -0.7930,           -0.6039,          -29.9306,
Ref 7,4.30632e-08,,,,,,1.1969e-02,4.2043e-03,4.8899e-05,4.6448e-06,5.4923e-08,,,,,,,,,,,
Sam 7,4.25935e-08,1.20271e-02,4.2525e-03,4.9661e-05,4.7483e-06,5.5647e-08,,,,,,            4.8165,           11.4449,           15.5766,           22.4531,           34.2393,            1.8404,            5.4790,           -0.6945,           -0.5548,            6.1899,
Ref 8,4.25047e-08,,,,,,1.1969e-02,4.2043e-03,4.8900e-05,4.6433e-06,5.2671e-08,,,,,,,,,,,
Sam 8,4.20328e-08,1.20269e-02,4.2524e-03,4.9660e-05,4.7499e-06,5.3492e-08,,,,,,            4.8054,           11.4273,           15.5183,           22.7267,          -27.9142,            1.8293,            5.4615,           -0.7235,           -0.2527,          -54.2345,
Ref 9,4.19569e-08,,,,,,1.1969e-02,4.2043e-03,4.8902e-05,4.6455e-06,5.7416e-08,,,,,,,,,,,
Sam 9,4.14842e-08,1.20271e-02,4.2525e-03,4.9666e-05,4.7498e-06,5.3221e-08,,,,,,            4.8208,           11.4495,           15.6614,           22.7463,          -41.5707,            1.8449,            5.4836,           -0.6200,           -0.2773,          -67.5766,
Ref 10,4.14202e-08,,,,,,1.1969e-02,4.2043e-03,4.8899e-05,4.6428e-06,5.3618e-08,,,,,,,,,,,
Sam 10,4.09384e-08,1.20270e-02,4.2524e-03,4.9663e-05,4.7481e-06,5.3777e-08,,,,,,            4.8189,           11.4461,           15.5949,           22.4307,          -18.1791,            1.8430,            5.4802,           -0.6802,           -0.5790,          -44.8115,
Ref 11,4.08881e-08,,,,,,1.1969e-02,4.2043e-03,4.8902e-05,4.6452e-06,5.5943e-08,,,,,,,,,,,
Sam 11,4.04092e-08,1.20269e-02,4.2524e-03,4.9657e-05,4.7481e-06,5.3251e-08,,,,,,            4.8220,           11.4373,           15.4300,           22.1700,          -20.6410,            1.8466,            5.4714,           -0.8371,           -0.8166,          -47.1935,
Ref 12,4.03571e-08,,,,,,1.1969e-02,4.2043e-03,4.8902e-05,4.6451e-06,5.2784e-08,,,,,,,,,,,
Sam 12,3.98873e-08,1.20268e-02,4.2524e-03,4.9666e-05,4.7486e-06,5.2258e-08,,,,,,            4.8145,           11.4259,           15.5534,           21.9968,          -44.1963,            1.8391,            5.4601,           -0.6969,           -0.9633,          -70.0821,
Ref 13,3.98558e-08,,,,,,1.1969e-02,4.2043e-03,4.8909e-05,4.6478e-06,5.6589e-08,,,,,,,,,,,
Sam 13,3.93752e-08,1.20266e-02,4.2523e-03,4.9671e-05,4.7521e-06,5.6194e-08,,,,,,            4.8049,           11.4233,           15.5867,           22.2900,           -2.2227,            1.8289,            5.4576,           -0.6518,           -0.6717,          -29.2306,
Ref 14,3.93578e-08,,,,,,1.1969e-02,4.2043e-03,4.8909e-05,4.6493e-06,5.6046e-08,,,,,,,,,,,
Sam 14,3.88762e-08,1.20266e-02,4.2524e-03,4.9662e-05,4.7484e-06,5.4284e-08,,,,,,            4.8040,           11.4454,           15.4107,           21.7397,          -15.5105,            1.8272,            5.4796,           -0.8455,           -1.2532,          -42.1990,
Ref 15,3.88717e-08,,,,,,1.1969e-02,4.2042e-03,4.8908e-05,4.6454e-06,5.4221e-08,,,,,,,,,,,
Sam 15,3.83762e-08,1.20267e-02,4.2523e-03,4.9668e-05,4.7542e-06,5.2834e-08,,,,,,            4.8146,           11.4379,           15.5066,           22.6962,          -18.8321,            1.8387,            5.4720,           -0.7547,           -0.3033,          -45.4272,
Ref 16,3.83846e-08,,,,,,1.1969e-02,4.2042e-03,4.8912e-05,4.6519e-06,5.3470e-08,,,,,,,,,,,
Sam 16,3.78824e-08,1.20266e-02,4.2523e-03,4.9670e-05,4.7550e-06,5.2711e-08,,,,,,            4.8135,           11.4473,           15.5091,           22.4787,           14.9318,            1.8372,            5.4815,           -0.7603,           -0.5347,          -12.5955,
Ref 17,3.79053e-08,,,,,,1.1969e-02,4.2042e-03,4.8911e-05,4.6489e-06,5.0382e-08,,,,,,,,,,,
Sam 17,3.73986e-08,1.20266e-02,4.2523e-03,4.9669e-05,4.7530e-06,4.6508e-08,,,,,,            4.8158,           11.4443,           15.5293,           22.1985,          -86.2003,            1.8398,            5.4785,           -0.7399,           -0.8026,         -110.9816,
Ref 18,3.74292e-08,,,,,,1.1969e-02,4.2042e-03,4.8909e-05,4.6507e-06,5.1414e-08,,,,,,,,,,,
Sam 18,3.69196e-08,1.20266e-02,4.2523e-03,4.9669e-05,4.7543e-06,4.7862e-08,,,,,,            4.8195,           11.4350,           15.5271,           22.6847,          -42.7831,            1.8440,            5.4692,           -0.7368,           -0.3089,          -68.7286,
Ref 19,3.69666e-08,,,,,,1.1969e-02,4.2043e-03,4.8910e-05,4.6469e-06,4.8570e-08,,,,,,,,,,,
Sam 19,3.64500e-08,1.20265e-02,4.2523e-03,4.9680e-05,4.7481e-06,4.3656e-08,,,,,,            4.8132,           11.4258,           15.6917,           21.9219,          -67.6919,            1.8376,            5.4600,           -0.5594,           -1.0364,          -92.9400,
Ref 20,3.65090e-08,,,,,,1.1969e-02,4.2042e-03,4.8915e-05,4.6455e-06,4.5060e-08,,,,,,,,,,,
Sam 20,3.59892e-08,1.20265e-02,4.2523e-03,4.9685e-05,4.7535e-06,4.8419e-08,,,,,,            4.8172,           11.4264,           15.7740,           22.7733,           36.5183,            1.8419,            5.4606,           -0.4831,           -0.2054,            8.4425,
Ref 21,3.60576e-08,,,,,,1.1969e-02,4.2042e-03,4.8911e-05,4.6498e-06,4.8386e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.58397e-08,,,,,,1.1969e-02,4.2042e-03,4.8919e-05,4.6507e-06,5.0012e-08,
Sam 1,3.53173e-08,1.20265e-02,4.2522e-03,4.9677e-05,4.7558e-06,4.9542e-08,,,,,,            4.8076,           11.4238,           15.6173,           22.4546,           -8.2064,            1.8318,            5.4580,           -0.6249,           -0.5117,          -35.0559,
Ref 2,3.53966e-08,,,,,,1.1969e-02,4.2042e-03,4.8908e-05,4.6519e-06,4.9891e-08,,,,,,,,,,,
Sam 2,3.48725e-08,1.20264e-02,4.2522e-03,4.9672e-05,4.7524e-06,5.1482e-08,,,,,,            4.8085,           11.4263,           15.5860,           21.8368,           41.7458,            1.8326,            5.4606,           -0.6591,           -1.1207,           13.5381,
Ref 3,3.49695e-08,,,,,,1.1969e-02,4.2041e-03,4.8912e-05,4.6497e-06,4.8941e-08,,,,,,,,,,,
Sam 3,3.44411e-08,1.20263e-02,4.2522e-03,4.9675e-05,4.7531e-06,4.7532e-08,,,,,,            4.8077,           11.4306,           15.6415,           22.2853,          -50.3364,            1.8316,            5.4649,           -0.6078,           -0.6908,          -76.0577,
Ref 4,3.45469e-08,,,,,,1.1969e-02,4.2042e-03,4.8908e-05,4.6492e-06,5.1175e-08,,,,,,,,,,,
Sam 4,3.40115e-08,1.20262e-02,4.2522e-03,4.9672e-05,4.7543e-06,5.1350e-08,,,,,,            4.8064,           11.4293,           15.5517,           22.6078,          -15.2432,            1.8303,            5.4636,           -0.6936,           -0.3729,          -41.9114,
Ref 5,3.41262e-08,,,,,,1.1969e-02,4.2041e-03,4.8915e-05,4.6492e-06,5.3126e-08,,,,,,,,,,,
Sam 5,3.35896e-08,1.20264e-02,4.2521e-03,4.9675e-05,4.7584e-06,5.2314e-08,,,,,,            4.8218,           11.4140,           15.6013,           23.7892,            2.2950,            1.8472,            5.4483,           -0.6457,            0.8123,          -24.8349,
Ref 6,3.37140e-08,,,,,,1.1969e-02,4.2041e-03,4.8910e-05,4.6465e-06,5.1251e-08,,,,,,,,,,,
Sam 6,3.31739e-08,1.20262e-02,4.2522e-03,4.9679e-05,4.7537e-06,4.7380e-08,,,,,,            4.8103,           11.4230,           15.6430,           22.8417,          -62.2847,            1.8347,            5.4572,           -0.6016,           -0.1317,          -87.6714,
Ref 7,3.33107e-08,,,,,,1.1969e-02,4.2042e-03,4.8918e-05,4.6487e-06,4.9794e-08,,,,,,,,,,,
Sam 7,3.27707e-08,1.20263e-02,4.2522e-03,4.9670e-05,4.7510e-06,4.7090e-08,,,,,,            4.8205,           11.4354,           15.3533,           22.0746,          -81.2087,            1.8451,            5.4696,           -0.9092,           -0.9062,         -106.1144,
Ref 8,3.29125e-08,,,,,,1.1969e-02,4.2040e-03,4.8920e-05,4.6480e-06,5.2727e-08,,,,,,,,,,,
Sam 8,3.23682e-08,1.20263e-02,4.2522e-03,4.9684e-05,4.7555e-06,5.0333e-08,,,,,,            4.8185,           11.4447,           15.5843,           22.5599,          -23.0714,            1.8426,            5.4789,           -0.6888,           -0.4501,          -49.5682,
Ref 9,3.25168e-08,,,,,,1.1969e-02,4.2041e-03,4.8923e-05,4.6532e-06,5.0300e-08,,,,,,,,,,,
Sam 9,3.19735e-08,1.20262e-02,4.2520e-03,4.9675e-05,4.7524e-06,4.9696e-08,,,,,,            4.8209,           11.4118,           15.3845,           21.7701,          -19.5718,            1.8463,            5.4460,           -0.8558,           -1.1570,          -46.1047,
Ref 10,3.21328e-08,,,,,,1.1968e-02,4.2040e-03,4.8922e-05,4.6490e-06,5.1080e-08,,,,,,,,,,,
Sam 10,3.15831e-08,1.20260e-02,4.2520e-03,4.9681e-05,4.7560e-06,4.6233e-08,,,,,,            4.8194,           11.4110,           15.4978,           22.8964,          -83.5148,            1.8448,            5.4452,           -0.7421,           -0.0544,         -108.3145,
Ref 11,3.17556e-08,,,,,,1.1968e-02,4.2040e-03,4.8925e-05,4.6500e-06,4.9806e-08,,,,,,,,,,,
Sam 11,3.11974e-08,1.20260e-02,4.2521e-03,4.9678e-05,4.7561e-06,4.3274e-08,,,,,,            4.8195,           11.4412,           15.4012,           22.3731,         -135.5567,            1.8438,            5.4754,           -0.8667,           -0.6258,         -158.9978,
Ref 12,3.13790e-08,,,,,,1.1968e-02,4.2041e-03,4.8925e-05,4.6540e-06,5.0318e-08,,,,,,,,,,,
Sam 12,3.08227e-08,1.20260e-02,4.2520e-03,4.9680e-05,4.7556e-06,4.7624e-08,,,,,,            4.8186,           11.4265,           15.4814,           22.3756,          -57.7639,            1.8434,            5.4607,           -0.7726,           -0.5943,          -83.2874,
Ref 13,3.10111e-08,,,,,,1.1968e-02,4.2040e-03,4.8920e-05,4.6491e-06,5.0771e-08,,,,,,,,,,,
Sam 13,3.04530e-08,1.20260e-02,4.2520e-03,4.9674e-05,4.7549e-06,4.8120e-08,,,,,,            4.8245,           11.4113,           15.3601,           22.5990,          -20.8769,            1.8502,            5.4456,           -0.8832,           -0.3459,          -47.3774,
Ref 14,3.06500e-08,,,,,,1.1968e-02,4.2040e-03,4.8924e-05,4.6506e-06,4.7501e-08,,,,,,,,,,,
Sam 14,3.00892e-08,1.20259e-02,4.2520e-03,4.9684e-05,4.7550e-06,4.3751e-08,,,,,,            4.8153,           11.4216,           15.6169,           22.4038,          -94.8439,            1.8400,            5.4558,           -0.6310,           -0.5570,         -119.3513,
Ref 15,3.02914e-08,,,,,,1.1968e-02,4.2040e-03,4.8915e-05,4.6511e-06,4.9179e-08,,,,,,,,,,,
Sam 15,2.97331e-08,1.20259e-02,4.2520e-03,4.9681e-05,4.7542e-06,4.4419e-08,,,,,,            4.8208,           11.4273,           15.5380,           22.0040,         -122.7919,            1.8457,            5.4615,           -0.7199,           -0.9592,         -146.5572,
Ref 16,2.99455e-08,,,,,,1.1968e-02,4.2039e-03,4.8927e-05,4.6526e-06,5.2112e-08,,,,,,,,,,,
Sam 16,2.93795e-08,1.20260e-02,4.2520e-03,4.9689e-05,4.7594e-06,5.3103e-08,,,,,,            4.8245,           11.4376,           15.6275,           23.1553,           -2.3801,            1.8492,            5.4718,           -0.6456,            0.1458,          -29.4308,
Ref 17,2.95975e-08,,,,,,1.1968e-02,4.2039e-03,4.8921e-05,4.6508e-06,5.4362e-08,,,,,,,,,,,
Sam 17,2.90301e-08,1.20258e-02,4.2520e-03,4.9685e-05,4.7579e-06,5.0903e-08,,,,,,            4.8169,           11.4474,           15.5960,           22.9708,          -51.7677,            1.8408,            5.4815,           -0.6782,           -0.0537,          -77.4893,
Ref 18,2.92576e-08,,,,,,1.1968e-02,4.2039e-03,4.8924e-05,4.6512e-06,5.2995e-08,,,,,,,,,,,
Sam 18,2.86901e-08,1.20257e-02,4.2520e-03,4.9684e-05,4.7530e-06,5.6361e-08,,,,,,            4.8092,           11.4395,           15.5257,           22.1279,           66.1304,            1.8330,            5.4737,           -0.7319,           -0.8621,           37.2349,
Ref 19,2.89238e-08,,,,,,1.1968e-02,4.2039e-03,4.8926e-05,4.6490e-06,5.2735e-08,,,,,,,,,,,
Sam 19,2.83509e-08,1.20255e-02,4.2519e-03,4.9676e-05,4.7564e-06,4.8042e-08,,,,,,            4.8017,           11.4120,           15.3981,           22.6859,          -73.9348,            1.8259,            5.4463,           -0.8230,           -0.2622,          -98.9786,
Ref 20,2.85907e-08,,,,,,1.1968e-02,4.2039e-03,4.8919e-05,4.6528e-06,5.1010e-08,,,,,,,,,,,
Sam 20,2.80110e-08,1.20256e-02,4.2519e-03,4.9680e-05,4.7548e-06,4.9218e-08,,,,,,            4.8111,           11.4109,           15.4625,           22.3374,          -13.4993,            1.8359,            5.4452,           -0.7683,           -0.6009,          -40.1851,
Ref 21,2.82594e-08,,,,,,1.1968e-02,4.2039e-03,4.8928e-05,4.6490e-06,4.8760e-08,,,,,,,,,,,


